====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 29600 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =007975.06
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  4842.61E-03  9282.04E-08
300000.E-01  4844.18E-03  3199.48E-07
450000.E-01  4862.32E-03  3499.30E-07
600000.E-01  4866.21E-03  5566.27E-07
750000.E-01  4875.28E-03  2011.84E-07
900000.E-01  4931.11E-03  3144.76E-07
105000.E+00  4963.14E-03  4759.37E-07
120000.E+00  4942.03E-03  4974.99E-07
135000.E+00  4945.28E-03  5925.46E-06
150000.E+00  4967.95E-03  2248.33E-07
165000.E+00  4991.84E-03  1874.65E-07
180000.E+00  5024.39E-03  6697.97E-07
195000.E+00  5081.06E-03  5208.07E-07
210000.E+00  5121.85E-03  2770.91E-07
225000.E+00  5086.73E-03  6037.47E-07
240000.E+00  5104.39E-03  4490.46E-07
255000.E+00  5098.69E-03  1145.31E-06
270000.E+00  5129.65E-03  2853.47E-06
285000.E+00  5144.79E-03  2615.59E-07
300000.E+00  5144.48E-03  3589.86E-07
315000.E+00  5204.23E-03  1427.36E-07
330000.E+00  5224.78E-03  5900.00E-07
345000.E+00  5257.80E-03  1860.41E-06
360000.E+00  5296.62E-03  8730.38E-07
375000.E+00  5332.26E-03  1673.43E-07
390000.E+00  5322.16E-03  2351.47E-07
405000.E+00  5360.86E-03  2982.57E-07
420000.E+00  5393.55E-03  2797.38E-07
435000.E+00  5390.94E-03  2377.10E-07
450000.E+00  5423.83E-03  1743.21E-07
465000.E+00  5480.53E-03  4064.01E-07
480000.E+00  5475.70E-03  3032.87E-07
495000.E+00  5566.66E-03  3711.92E-07
510000.E+00  5614.63E-03  5270.21E-07
525000.E+00  5632.35E-03  7592.90E-07
540000.E+00  5722.80E-03  6631.46E-07
555000.E+00  5690.98E-03  1999.71E-06
570000.E+00  5693.83E-03  2556.78E-06
585000.E+00  5782.38E-03  3287.66E-06
600000.E+00  5793.58E-03  3126.26E-05
615000.E+00  5770.98E-03  2108.87E-05
630000.E+00  5829.21E-03  3439.19E-06
645000.E+00  5814.23E-03  4912.05E-06
660000.E+00  5899.84E-03  5475.19E-07
675000.E+00  5979.95E-03  1003.31E-06
690000.E+00  5973.92E-03  6481.50E-07
705000.E+00  6030.27E-03  7370.40E-07
720000.E+00  6081.28E-03  8486.04E-07
735000.E+00  5998.20E-03  7560.16E-07
750000.E+00  6106.99E-03  1835.74E-06
765000.E+00  6018.85E-03  5342.13E-07
780000.E+00  6097.49E-03  1297.00E-06
795000.E+00  6128.96E-03  3832.43E-07
810000.E+00  6159.38E-03  9095.67E-07
825000.E+00  6229.79E-03  9603.21E-07
840000.E+00  6317.33E-03  5834.73E-06
855000.E+00  6265.79E-03  8868.05E-07
870000.E+00  6265.93E-03  5050.83E-07
885000.E+00  6472.84E-03  3678.64E-07
900000.E+00  6395.66E-03  3532.25E-07
915000.E+00  6392.72E-03  4865.39E-07
930000.E+00  6400.80E-03  3247.46E-07
945000.E+00  6437.70E-03  2445.47E-06
960000.E+00  6427.53E-03  7400.56E-07
975000.E+00  6400.54E-03  3676.10E-07
990000.E+00  6454.19E-03  3117.12E-07
100500.E+01  6610.38E-03  2950.47E-07
102000.E+01  6603.24E-03  4796.86E-07
103500.E+01  6716.70E-03  3649.87E-07
105000.E+01  6871.05E-03  4570.57E-07
106500.E+01  6807.76E-03  2974.52E-07
108000.E+01  6834.53E-03  3432.31E-07
109500.E+01  6861.35E-03  5592.90E-07
111000.E+01  6893.27E-03  7792.94E-07
112500.E+01  6785.09E-03  1041.04E-06
114000.E+01  6987.25E-03  8206.33E-07
115500.E+01  7138.17E-03  9470.62E-07
117000.E+01  6970.70E-03  3441.49E-07
118500.E+01  6980.67E-03  1177.58E-06
120000.E+01  6982.20E-03  1005.93E-06
121500.E+01  7163.18E-03  5287.84E-07
123000.E+01  7311.15E-03  5053.19E-07
124500.E+01  7115.82E-03  3657.55E-07
126000.E+01  7169.53E-03  3743.43E-07
127500.E+01  7146.44E-03  5531.03E-07
129000.E+01  7094.09E-03  1124.92E-06
130500.E+01  7066.40E-03  9985.84E-07
132000.E+01  7131.73E-03  4290.57E-07
133500.E+01  7175.44E-03  1143.90E-06
135000.E+01  7194.73E-03  7612.89E-07
136500.E+01  7241.84E-03  8654.58E-07
138000.E+01  7399.33E-03  3746.91E-07
139500.E+01  7330.34E-03  2064.35E-06
141000.E+01  7263.82E-03  6009.71E-07
142500.E+01  7253.57E-03  6377.00E-07
144000.E+01  7188.49E-03  7044.39E-07
145500.E+01  7235.34E-03  5767.75E-07
147000.E+01  7082.72E-03  8733.38E-07
148500.E+01  7127.82E-03  6293.73E-07
150000.E+01  7140.04E-03  4150.36E-07
