====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 47400 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =030963.01
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1975.66E-04  1174.64E-11
300000.E-01  1972.84E-04  1042.14E-10
450000.E-01  1972.09E-04  2399.50E-10
600000.E-01  1971.33E-04  3088.48E-10
750000.E-01  1970.34E-04  2863.90E-10
900000.E-01  1969.52E-04  5677.45E-10
105000.E+00  1969.22E-04  1019.62E-09
120000.E+00  1970.70E-04  2562.78E-09
135000.E+00  1971.81E-04  2631.57E-09
150000.E+00  1972.56E-04  3758.06E-10
165000.E+00  1973.39E-04  3956.46E-09
180000.E+00  1973.46E-04  1779.16E-09
195000.E+00  1974.18E-04  1433.80E-09
210000.E+00  1973.78E-04  3707.74E-09
225000.E+00  1973.93E-04  1663.37E-09
240000.E+00  1972.15E-04  2538.64E-09
255000.E+00  1972.29E-04  7155.28E-09
270000.E+00  1973.45E-04  2248.62E-09
285000.E+00  1973.43E-04  7563.18E-09
300000.E+00  1973.80E-04  1460.61E-07
315000.E+00  1973.45E-04  2231.54E-09
330000.E+00  1972.48E-04  3565.27E-09
345000.E+00  1972.30E-04  7710.07E-09
360000.E+00  1971.42E-04  2794.15E-09
375000.E+00  1971.60E-04  6134.22E-09
390000.E+00  1971.52E-04  2853.87E-09
405000.E+00  1972.07E-04  1321.37E-08
420000.E+00  1971.89E-04  5250.30E-09
435000.E+00  1971.02E-04  7928.80E-09
450000.E+00  1970.67E-04  1411.79E-08
465000.E+00  1969.59E-04  4931.18E-09
480000.E+00  1969.75E-04  3710.09E-09
495000.E+00  1969.83E-04  4417.22E-09
510000.E+00  1969.49E-04  6340.39E-09
525000.E+00  1970.53E-04  6449.20E-09
540000.E+00  1972.30E-04  8239.66E-09
555000.E+00  1972.05E-04  3885.18E-09
570000.E+00  1968.85E-04  5291.05E-09
585000.E+00  1967.19E-04  7706.25E-08
600000.E+00  1968.17E-04  7313.37E-09
615000.E+00  1969.35E-04  9065.86E-09
630000.E+00  1970.50E-04  1026.81E-08
645000.E+00  1970.04E-04  1627.87E-08
660000.E+00  1969.84E-04  5907.80E-08
675000.E+00  1971.08E-04  1311.89E-08
690000.E+00  1971.83E-04  4133.45E-09
705000.E+00  1971.16E-04  9671.52E-09
720000.E+00  1971.51E-04  3485.43E-09
735000.E+00  1968.84E-04  3698.93E-09
750000.E+00  1970.52E-04  6126.61E-09
765000.E+00  1971.15E-04  2408.93E-09
780000.E+00  1970.40E-04  1410.23E-08
795000.E+00  1971.81E-04  3278.62E-07
810000.E+00  1973.06E-04  1980.16E-08
825000.E+00  1973.20E-04  7547.88E-09
840000.E+00  1972.90E-04  1262.03E-08
855000.E+00  1970.66E-04  4991.48E-09
870000.E+00  1967.54E-04  4789.58E-09
885000.E+00  1967.81E-04  5766.74E-09
900000.E+00  1969.47E-04  5759.16E-08
915000.E+00  1972.15E-04  9832.98E-09
930000.E+00  1972.13E-04  8643.95E-09
945000.E+00  1973.91E-04  6012.85E-09
960000.E+00  1976.81E-04  4544.02E-09
975000.E+00  1977.42E-04  4284.18E-09
990000.E+00  1978.98E-04  2149.12E-08
100500.E+01  1978.23E-04  5052.66E-09
102000.E+01  1973.83E-04  8610.84E-09
103500.E+01  1969.47E-04  1139.41E-08
105000.E+01  1970.27E-04  1413.89E-08
106500.E+01  1969.25E-04  6812.59E-09
108000.E+01  1971.49E-04  9078.60E-08
109500.E+01  1974.64E-04  9943.84E-08
111000.E+01  1974.50E-04  7930.83E-09
112500.E+01  1976.46E-04  4720.54E-08
114000.E+01  1975.64E-04  1458.32E-08
115500.E+01  1979.39E-04  1610.35E-08
117000.E+01  1983.63E-04  9688.43E-09
118500.E+01  1982.69E-04  2326.02E-08
120000.E+01  1983.40E-04  3119.78E-08
121500.E+01  1986.86E-04  1134.45E-08
123000.E+01  1989.30E-04  1495.51E-07
124500.E+01  1988.98E-04  1384.73E-08
126000.E+01  1993.51E-04  1089.28E-08
127500.E+01  1992.10E-04  6874.96E-09
129000.E+01  1986.03E-04  1897.06E-08
130500.E+01  1985.06E-04  1346.18E-07
132000.E+01  1979.19E-04  1108.37E-08
133500.E+01  1975.56E-04  8291.55E-09
135000.E+01  1978.78E-04  2484.55E-08
136500.E+01  1987.40E-04  1144.69E-08
138000.E+01  1980.06E-04  1076.34E-08
139500.E+01  1973.85E-04  6132.73E-09
141000.E+01  1967.84E-04  9652.33E-09
142500.E+01  1972.56E-04  1057.29E-08
144000.E+01  1963.12E-04  6514.91E-08
145500.E+01  1961.22E-04  1776.86E-08
147000.E+01  1978.85E-04  1050.47E-08
148500.E+01  1986.12E-04  1433.97E-08
150000.E+01  1983.65E-04  5321.68E-08
