                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1222E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3962E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4354E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1645E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2233E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2834E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1574E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1202E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   21.8776  0.3717E+02  0.3452E+04  0.4153E+00  0.1261E+03  0.2161E+06  0.3576E-03  0.9516E+03  0.5248E+04
   21.8776   30.1995  0.1283E+02  0.1599E+04  0.1072E+00  0.4716E+02  0.1267E+06  0.5706E-04  0.4795E+03  0.2925E+04
   30.1995   41.6869  0.4437E+01  0.7427E+03  0.2749E-01  0.1762E+02  0.7425E+05  0.9092E-05  0.2449E+03  0.1641E+04
   41.6869   57.5440  0.1533E+01  0.3455E+03  0.7033E-02  0.6601E+01  0.4352E+05  0.1447E-05  0.1267E+03  0.9266E+03
   57.5440   79.4328  0.5297E+00  0.1600E+03  0.1802E-02  0.2478E+01  0.2551E+05  0.2302E-06  0.6629E+02  0.5260E+03
   79.4328  109.6478  0.1829E+00  0.7461E+02  0.4605E-03  0.9288E+00  0.1495E+05  0.3659E-07  0.3504E+02  0.3001E+03
  109.6478  151.3562  0.6318E-01  0.3458E+02  0.1175E-03  0.3476E+00  0.8763E+04  0.5815E-08  0.1870E+02  0.1720E+03
  151.3562  208.9296  0.2176E-01  0.1603E+02  0.3007E-04  0.1300E+00  0.5199E+04  0.9238E-09  0.1007E+02  0.9896E+02
  208.9296  288.4032  0.7528E-02  0.7432E+01  0.7708E-05  0.4854E-01  0.3176E+04  0.1467E-09  0.5462E+01  0.5714E+02
  288.4032  398.1071  0.2601E-02  0.3457E+01  0.1965E-05  0.1814E-01  0.1940E+04  0.2330E-10  0.2984E+01  0.3311E+02
  398.1071  549.5409  0.8988E-03  0.1606E+01  0.5012E-06  0.6777E-02  0.1185E+04  0.3700E-11  0.1641E+01  0.1924E+02
  549.5409  758.5778  0.3093E-03  0.7510E+00  0.1276E-06  0.2535E-02  0.7235E+03  0.5874E-12  0.9080E+00  0.1121E+02
  758.5778 1047.1285  0.1065E-03  0.3514E+00  0.3272E-07  0.9477E-03  0.4419E+03  0.9325E-13  0.5051E+00  0.6548E+01
 1047.1285 1445.4401  0.3675E-04  0.1634E+00  0.8359E-08  0.3542E-03  0.2699E+03  0.1480E-13  0.2824E+00  0.3834E+01
 1445.4401 1995.2621  0.1269E-04  0.7628E-01  0.2137E-08  0.1322E-03  0.1649E+03  0.2350E-14  0.1586E+00  0.2249E+01
 1995.2621 2754.2290  0.4380E-05  0.3556E-01  0.5425E-09  0.4941E-04  0.1007E+03  0.3730E-15  0.8944E-01  0.1322E+01
 2754.2290 3801.8933  0.1512E-05  0.1662E-01  0.1380E-09  0.1849E-04  0.6149E+02  0.5921E-16  0.5064E-01  0.7788E+00
 3801.8933 5248.0747  0.5222E-06  0.7758E-02  0.3514E-10  0.6923E-05  0.3756E+02  0.9398E-17  0.2877E-01  0.4594E+00
 5248.0747 7244.3579  0.1807E-06  0.3621E-02  0.8978E-11  0.2589E-05  0.2294E+02  0.1492E-17  0.1640E-01  0.2715E+00
 7244.3579 10000.0000  0.6238E-07  0.1689E-02  0.2290E-11  0.9700E-06  0.1401E+02  0.2368E-18  0.9380E-02  0.1606E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.4340E+08  0.1391E+09  0.1616E+08  0.5844E+08  0.7076E+09  0.3939E+06  0.5574E+08  0.4147E+08
