                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1230E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3959E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4390E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1660E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2144E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3202E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1585E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1204E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   21.8776  0.3720E+02  0.3453E+04  0.4163E+00  0.1262E+03  0.2162E+06  0.3582E-03  0.9520E+03  0.5250E+04
   21.8776   30.1995  0.1283E+02  0.1599E+04  0.1072E+00  0.4720E+02  0.1267E+06  0.5714E-04  0.4796E+03  0.2925E+04
   30.1995   41.6869  0.4440E+01  0.7430E+03  0.2750E-01  0.1762E+02  0.7427E+05  0.9103E-05  0.2450E+03  0.1642E+04
   41.6869   57.5440  0.1533E+01  0.3456E+03  0.7040E-02  0.6605E+01  0.4353E+05  0.1449E-05  0.1267E+03  0.9268E+03
   57.5440   79.4328  0.5299E+00  0.1600E+03  0.1802E-02  0.2479E+01  0.2551E+05  0.2304E-06  0.6630E+02  0.5261E+03
   79.4328  109.6478  0.1829E+00  0.7461E+02  0.4608E-03  0.9288E+00  0.1495E+05  0.3662E-07  0.3505E+02  0.3002E+03
  109.6478  151.3562  0.6319E-01  0.3459E+02  0.1177E-03  0.3477E+00  0.8764E+04  0.5819E-08  0.1870E+02  0.1720E+03
  151.3562  208.9296  0.2177E-01  0.1603E+02  0.3010E-04  0.1300E+00  0.5200E+04  0.9243E-09  0.1007E+02  0.9897E+02
  208.9296  288.4032  0.7530E-02  0.7431E+01  0.7709E-05  0.4852E-01  0.3176E+04  0.1468E-09  0.5462E+01  0.5715E+02
  288.4032  398.1071  0.2602E-02  0.3457E+01  0.1965E-05  0.1815E-01  0.1940E+04  0.2331E-10  0.2985E+01  0.3311E+02
  398.1071  549.5409  0.8989E-03  0.1606E+01  0.5011E-06  0.6776E-02  0.1185E+04  0.3701E-11  0.1641E+01  0.1924E+02
  549.5409  758.5778  0.3094E-03  0.7510E+00  0.1277E-06  0.2535E-02  0.7236E+03  0.5875E-12  0.9081E+00  0.1121E+02
  758.5778 1047.1285  0.1065E-03  0.3513E+00  0.3273E-07  0.9479E-03  0.4420E+03  0.9327E-13  0.5051E+00  0.6548E+01
 1047.1285 1445.4401  0.3676E-04  0.1634E+00  0.8360E-08  0.3543E-03  0.2699E+03  0.1481E-13  0.2824E+00  0.3834E+01
 1445.4401 1995.2621  0.1269E-04  0.7628E-01  0.2138E-08  0.1322E-03  0.1649E+03  0.2350E-14  0.1586E+00  0.2249E+01
 1995.2621 2754.2290  0.4381E-05  0.3555E-01  0.5426E-09  0.4940E-04  0.1007E+03  0.3731E-15  0.8944E-01  0.1322E+01
 2754.2290 3801.8933  0.1512E-05  0.1662E-01  0.1380E-09  0.1850E-04  0.6150E+02  0.5922E-16  0.5064E-01  0.7788E+00
 3801.8933 5248.0747  0.5223E-06  0.7757E-02  0.3514E-10  0.6923E-05  0.3756E+02  0.9399E-17  0.2877E-01  0.4595E+00
 5248.0747 7244.3579  0.1807E-06  0.3622E-02  0.8978E-11  0.2589E-05  0.2294E+02  0.1492E-17  0.1640E-01  0.2715E+00
 7244.3579 10000.0000  0.6238E-07  0.1689E-02  0.2290E-11  0.9702E-06  0.1401E+02  0.2368E-18  0.9380E-02  0.1606E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.4350E+08  0.1391E+09  0.1625E+08  0.5882E+08  0.6954E+09  0.4938E+06  0.5595E+08  0.4152E+08
    0.0014    0.0019  0.5642E+08  0.1806E+09  0.2096E+08  0.7630E+08  0.9138E+09  0.4160E+06  0.7262E+08  0.5405E+08
    0.0019    0.0026  0.7168E+08  0.2296E+09  0.2638E+08  0.9686E+08  0.1180E+10  0.3508E+06  0.9227E+08  0.6896E+08
    0.0026    0.0036  0.8853E+08  0.2841E+09  0.3221E+08  0.1196E+09  0.1487E+10  0.2961E+06  0.1140E+09  0.8567E+08
    0.0036    0.0050  0.1056E+09  0.3397E+09  0.3794E+08  0.1424E+09  0.1816E+10  0.2502E+06  0.1360E+09  0.1029E+09
    0.0050    0.0069  0.1203E+09  0.3881E+09  0.4251E+08  0.1624E+09  0.2128E+10  0.2116E+06  0.1551E+09  0.1183E+09
    0.0069    0.0095  0.1298E+09  0.4200E+09  0.4510E+08  0.1753E+09  0.2364E+10  0.1791E+06  0.1676E+09  0.1288E+09
    0.0095    0.0132  0.1313E+09  0.4264E+09  0.4489E+08  0.1774E+09  0.2457E+10  0.1517E+06  0.1697E+09  0.1315E+09
    0.0132    0.0182  0.1233E+09  0.4023E+09  0.4163E+08  0.1667E+09  0.2352E+10  0.1286E+06  0.1595E+09  0.1243E+09
    0.0182    0.0251  0.1069E+09  0.3488E+09  0.3598E+08  0.1444E+09  0.2044E+10  0.1090E+06  0.1382E+09  0.1078E+09
    0.0251    0.0347  0.8504E+08  0.2764E+09  0.2898E+08  0.1149E+09  0.1590E+10  0.9251E+05  0.1099E+09  0.8531E+08
    0.0347    0.0479  0.6222E+08  0.2008E+09  0.2172E+08  0.8404E+08  0.1097E+10  0.7852E+05  0.8027E+08  0.6151E+08
    0.0479    0.0661  0.4202E+08  0.1348E+09  0.1517E+08  0.5678E+08  0.6673E+09  0.6667E+05  0.5413E+08  0.4072E+08
    0.0661    0.0912  0.2637E+08  0.8439E+08  0.9938E+07  0.3594E+08  0.3621E+09  0.5663E+05  0.3405E+08  0.2516E+08
    0.0912    0.1259  0.1566E+08  0.5005E+08  0.6039E+07  0.2151E+08  0.2098E+09  0.4811E+05  0.2025E+08  0.1487E+08
    0.1259    0.1738  0.8981E+07  0.2885E+08  0.3306E+07  0.1210E+08  0.1238E+09  0.4088E+05  0.1156E+08  0.8656E+07
    0.1738    0.2399  0.4948E+07  0.1636E+08  0.1685E+07  0.6675E+07  0.7110E+08  0.3475E+05  0.6426E+07  0.5098E+07
    0.2399    0.3311  0.2625E+07  0.9371E+07  0.7928E+06  0.3636E+07  0.4194E+08  0.2954E+05  0.3530E+07  0.3085E+07
    0.3311    0.4571  0.1353E+07  0.5515E+07  0.3483E+06  0.1954E+07  0.3159E+08  0.2511E+05  0.1937E+07  0.1926E+07
    0.4571    0.6310  0.6833E+06  0.3293E+07  0.1454E+06  0.1037E+07  0.2372E+08  0.1053E+05  0.1071E+07  0.1237E+07
    0.6310    0.8710  0.3388E+06  0.2012E+07  0.5815E+05  0.5459E+06  0.1778E+08  0.3492E+04  0.6008E+06  0.8144E+06
    0.8710    1.2023  0.1664E+06  0.1252E+07  0.2244E+05  0.2852E+06  0.1330E+08  0.1101E+04  0.3432E+06  0.5480E+06
