                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8057E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2645E+10 (#/cm^2/sec)
  5% Total Flux        =   0.2571E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1104E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1548E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.1366E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1045E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8161E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   21.8776  0.3587E+02  0.3368E+04  0.3962E+00  0.1221E+03  0.2126E+06  0.3399E-03  0.9308E+03  0.5151E+04
   21.8776   30.1995  0.1244E+02  0.1565E+04  0.1032E+00  0.4586E+02  0.1249E+06  0.5465E-04  0.4707E+03  0.2879E+04
   30.1995   41.6869  0.4326E+01  0.7287E+03  0.2661E-01  0.1721E+02  0.7337E+05  0.8763E-05  0.2412E+03  0.1620E+04
   41.6869   57.5440  0.1500E+01  0.3402E+03  0.6835E-02  0.6470E+01  0.4308E+05  0.1403E-05  0.1251E+03  0.9164E+03
   57.5440   79.4328  0.5200E+00  0.1581E+03  0.1756E-02  0.2435E+01  0.2529E+05  0.2241E-06  0.6558E+02  0.5212E+03
   79.4328  109.6478  0.1799E+00  0.7375E+02  0.4506E-03  0.9149E+00  0.1484E+05  0.3577E-07  0.3473E+02  0.2978E+03
  109.6478  151.3562  0.6232E-01  0.3426E+02  0.1154E-03  0.3433E+00  0.8708E+04  0.5704E-08  0.1856E+02  0.1708E+03
  151.3562  208.9296  0.2151E-01  0.1590E+02  0.2962E-04  0.1286E+00  0.5172E+04  0.9087E-09  0.1000E+02  0.9840E+02
  208.9296  288.4032  0.7457E-02  0.7380E+01  0.7609E-05  0.4807E-01  0.3161E+04  0.1447E-09  0.5433E+01  0.5687E+02
  288.4032  398.1071  0.2579E-02  0.3437E+01  0.1944E-05  0.1800E-01  0.1932E+04  0.2302E-10  0.2971E+01  0.3297E+02
  398.1071  549.5409  0.8924E-03  0.1598E+01  0.4963E-06  0.6733E-02  0.1181E+04  0.3662E-11  0.1635E+01  0.1917E+02
  549.5409  758.5778  0.3076E-03  0.7476E+00  0.1266E-06  0.2521E-02  0.7216E+03  0.5823E-12  0.9051E+00  0.1118E+02
  758.5778 1047.1285  0.1060E-03  0.3498E+00  0.3247E-07  0.9437E-03  0.4409E+03  0.9256E-13  0.5038E+00  0.6532E+01
 1047.1285 1445.4401  0.3660E-04  0.1630E+00  0.8304E-08  0.3529E-03  0.2694E+03  0.1471E-13  0.2817E+00  0.3826E+01
 1445.4401 1995.2621  0.1265E-04  0.7608E-01  0.2125E-08  0.1317E-03  0.1646E+03  0.2337E-14  0.1583E+00  0.2245E+01
 1995.2621 2754.2290  0.4365E-05  0.3548E-01  0.5405E-09  0.4927E-04  0.1005E+03  0.3713E-15  0.8930E-01  0.1320E+01
 2754.2290 3801.8933  0.1507E-05  0.1659E-01  0.1376E-09  0.1844E-04  0.6142E+02  0.5898E-16  0.5057E-01  0.7778E+00
 3801.8933 5248.0747  0.5210E-06  0.7747E-02  0.3499E-10  0.6906E-05  0.3752E+02  0.9367E-17  0.2874E-01  0.4590E+00
 5248.0747 7244.3579  0.1803E-06  0.3616E-02  0.8954E-11  0.2584E-05  0.2292E+02  0.1488E-17  0.1639E-01  0.2712E+00
 7244.3579 10000.0000  0.6227E-07  0.1687E-02  0.2285E-11  0.9688E-06  0.1400E+02  0.2362E-18  0.9372E-02  0.1605E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.3303E+08  0.1073E+09  0.1102E+08  0.4508E+08  0.5873E+09  0.9282E+05  0.4269E+08  0.3266E+08
    0.0014    0.0019  0.4167E+08  0.1356E+09  0.1371E+08  0.5692E+08  0.7558E+09  0.9552E+05  0.5390E+08  0.4146E+08
    0.0019    0.0026  0.5138E+08  0.1677E+09  0.1665E+08  0.7025E+08  0.9531E+09  0.9652E+05  0.6649E+08  0.5146E+08
    0.0026    0.0036  0.6150E+08  0.2016E+09  0.1962E+08  0.8412E+08  0.1171E+10  0.9585E+05  0.7968E+08  0.6211E+08
    0.0036    0.0050  0.7105E+08  0.2341E+09  0.2229E+08  0.9726E+08  0.1390E+10  0.9362E+05  0.9215E+08  0.7238E+08
    0.0050    0.0069  0.7854E+08  0.2601E+09  0.2428E+08  0.1076E+09  0.1581E+10  0.9006E+05  0.1021E+09  0.8078E+08
    0.0069    0.0095  0.8252E+08  0.2743E+09  0.2518E+08  0.1132E+09  0.1704E+10  0.8541E+05  0.1074E+09  0.8558E+08
    0.0095    0.0132  0.8171E+08  0.2725E+09  0.2474E+08  0.1122E+09  0.1720E+10  0.7996E+05  0.1065E+09  0.8525E+08
    0.0132    0.0182  0.7572E+08  0.2529E+09  0.2292E+08  0.1041E+09  0.1604E+10  0.7398E+05  0.9875E+08  0.7916E+08
    0.0182    0.0251  0.6540E+08  0.2178E+09  0.1997E+08  0.8978E+08  0.1364E+10  0.6772E+05  0.8519E+08  0.6801E+08
    0.0251    0.0347  0.5241E+08  0.1737E+09  0.1634E+08  0.7191E+08  0.1047E+10  0.6142E+05  0.6817E+08  0.5386E+08
    0.0347    0.0479  0.3900E+08  0.1279E+09  0.1254E+08  0.5352E+08  0.7185E+09  0.5523E+05  0.5063E+08  0.3935E+08
    0.0479    0.0661  0.2703E+08  0.8803E+08  0.8980E+07  0.3712E+08  0.4393E+09  0.4930E+05  0.3505E+08  0.2673E+08
    0.0661    0.0912  0.1757E+08  0.5722E+08  0.6005E+07  0.2438E+08  0.2577E+09  0.4372E+05  0.2281E+08  0.1714E+08
    0.0912    0.1259  0.1088E+08  0.3530E+08  0.3739E+07  0.1497E+08  0.1564E+09  0.3855E+05  0.1411E+08  0.1060E+08
    0.1259    0.1738  0.6491E+07  0.2114E+08  0.2153E+07  0.8807E+07  0.9582E+08  0.3383E+05  0.8392E+07  0.6487E+07
    0.1738    0.2399  0.3706E+07  0.1259E+08  0.1141E+07  0.5071E+07  0.5671E+08  0.2955E+05  0.4864E+07  0.4005E+07
    0.2399    0.3311  0.2031E+07  0.7523E+07  0.5605E+06  0.2863E+07  0.3429E+08  0.2572E+05  0.2779E+07  0.2526E+07
    0.3311    0.4571  0.1081E+07  0.4597E+07  0.2576E+06  0.1585E+07  0.2657E+08  0.1656E+05  0.1581E+07  0.1632E+07
    0.4571    0.6310  0.5605E+06  0.2835E+07  0.1118E+06  0.8652E+06  0.2045E+08  0.6120E+04  0.9025E+06  0.1078E+07
    0.6310    0.8710  0.2859E+06  0.1776E+07  0.4623E+05  0.4663E+06  0.1566E+08  0.2176E+04  0.5204E+06  0.7265E+06
    0.8710    1.2023  0.1438E+06  0.1124E+07  0.1844E+05  0.2490E+06  0.1193E+08  0.7501E+03  0.3044E+06  0.4983E+06
