                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1217E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4289E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1639E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2086E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3293E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1564E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1183E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   21.8776  0.3717E+02  0.3447E+04  0.4151E+00  0.1261E+03  0.2162E+06  0.3600E-03  0.9513E+03  0.5246E+04
   21.8776   30.1995  0.1282E+02  0.1599E+04  0.1072E+00  0.4715E+02  0.1267E+06  0.5739E-04  0.4794E+03  0.2924E+04
   30.1995   41.6869  0.4436E+01  0.7421E+03  0.2747E-01  0.1761E+02  0.7427E+05  0.9137E-05  0.2449E+03  0.1641E+04
   41.6869   57.5440  0.1532E+01  0.3453E+03  0.7026E-02  0.6599E+01  0.4353E+05  0.1453E-05  0.1267E+03  0.9264E+03
   57.5440   79.4328  0.5294E+00  0.1599E+03  0.1799E-02  0.2477E+01  0.2551E+05  0.2310E-06  0.6628E+02  0.5260E+03
   79.4328  109.6478  0.1828E+00  0.7461E+02  0.4602E-03  0.9286E+00  0.1495E+05  0.3671E-07  0.3504E+02  0.3001E+03
  109.6478  151.3562  0.6315E-01  0.3457E+02  0.1176E-03  0.3476E+00  0.8764E+04  0.5830E-08  0.1870E+02  0.1720E+03
  151.3562  208.9296  0.2177E-01  0.1602E+02  0.3008E-04  0.1299E+00  0.5203E+04  0.9259E-09  0.1007E+02  0.9895E+02
  208.9296  288.4032  0.7530E-02  0.7428E+01  0.7716E-05  0.4851E-01  0.3178E+04  0.1470E-09  0.5461E+01  0.5714E+02
  288.4032  398.1071  0.2601E-02  0.3456E+01  0.1965E-05  0.1815E-01  0.1941E+04  0.2334E-10  0.2984E+01  0.3310E+02
  398.1071  549.5409  0.8987E-03  0.1605E+01  0.5011E-06  0.6774E-02  0.1185E+04  0.3705E-11  0.1641E+01  0.1924E+02
  549.5409  758.5778  0.3094E-03  0.7512E+00  0.1277E-06  0.2535E-02  0.7238E+03  0.5881E-12  0.9080E+00  0.1121E+02
  758.5778 1047.1285  0.1065E-03  0.3514E+00  0.3273E-07  0.9479E-03  0.4421E+03  0.9334E-13  0.5051E+00  0.6548E+01
 1047.1285 1445.4401  0.3675E-04  0.1634E+00  0.8358E-08  0.3543E-03  0.2700E+03  0.1482E-13  0.2824E+00  0.3834E+01
 1445.4401 1995.2621  0.1269E-04  0.7627E-01  0.2138E-08  0.1322E-03  0.1649E+03  0.2352E-14  0.1586E+00  0.2249E+01
 1995.2621 2754.2290  0.4379E-05  0.3554E-01  0.5426E-09  0.4940E-04  0.1007E+03  0.3732E-15  0.8944E-01  0.1322E+01
 2754.2290 3801.8933  0.1512E-05  0.1662E-01  0.1380E-09  0.1849E-04  0.6151E+02  0.5924E-16  0.5064E-01  0.7788E+00
 3801.8933 5248.0747  0.5222E-06  0.7757E-02  0.3513E-10  0.6924E-05  0.3756E+02  0.9402E-17  0.2877E-01  0.4594E+00
 5248.0747 7244.3579  0.1807E-06  0.3622E-02  0.8976E-11  0.2588E-05  0.2294E+02  0.1492E-17  0.1640E-01  0.2715E+00
 7244.3579 10000.0000  0.6238E-07  0.1689E-02  0.2290E-11  0.9702E-06  0.1401E+02  0.2369E-18  0.9380E-02  0.1606E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.4321E+08  0.1380E+09  0.1601E+08  0.5839E+08  0.6870E+09  0.5197E+06  0.5555E+08  0.4112E+08
    0.0014    0.0019  0.5601E+08  0.1792E+09  0.2062E+08  0.7569E+08  0.9011E+09  0.4344E+06  0.7202E+08  0.5346E+08
