                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1783E+10 (#/cm^2/sec)
 95% Total Flux        =   0.5686E+10 (#/cm^2/sec)
  5% Total Flux        =   0.6744E+09 (#/cm^2/sec)
  67% Total Flux       =   0.2363E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2925E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2893E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.2281E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1701E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   21.8776  0.3852E+02  0.3532E+04  0.4361E+00  0.1303E+03  0.2198E+06  0.3789E-03  0.9727E+03  0.5345E+04
   21.8776   30.1995  0.1322E+02  0.1632E+04  0.1114E+00  0.4849E+02  0.1285E+06  0.5994E-04  0.4883E+03  0.2970E+04
   30.1995   41.6869  0.4556E+01  0.7557E+03  0.2842E-01  0.1803E+02  0.7516E+05  0.9481E-05  0.2487E+03  0.1663E+04
   41.6869   57.5440  0.1566E+01  0.3508E+03  0.7221E-02  0.6734E+01  0.4398E+05  0.1500E-05  0.1283E+03  0.9368E+03
   57.5440   79.4328  0.5394E+00  0.1620E+03  0.1843E-02  0.2519E+01  0.2573E+05  0.2373E-06  0.6700E+02  0.5309E+03
   79.4328  109.6478  0.1859E+00  0.7542E+02  0.4704E-03  0.9418E+00  0.1506E+05  0.3755E-07  0.3536E+02  0.3025E+03
  109.6478  151.3562  0.6399E-01  0.3490E+02  0.1196E-03  0.3519E+00  0.8819E+04  0.5945E-08  0.1884E+02  0.1731E+03
  151.3562  208.9296  0.2201E-01  0.1616E+02  0.3053E-04  0.1313E+00  0.5231E+04  0.9413E-09  0.1013E+02  0.9951E+02
  208.9296  288.4032  0.7602E-02  0.7481E+01  0.7816E-05  0.4896E-01  0.3192E+04  0.1491E-09  0.5491E+01  0.5741E+02
  288.4032  398.1071  0.2623E-02  0.3475E+01  0.1984E-05  0.1828E-01  0.1948E+04  0.2362E-10  0.2998E+01  0.3324E+02
  398.1071  549.5409  0.9052E-03  0.1614E+01  0.5063E-06  0.6821E-02  0.1189E+04  0.3743E-11  0.1647E+01  0.1930E+02
  549.5409  758.5778  0.3112E-03  0.7547E+00  0.1287E-06  0.2548E-02  0.7258E+03  0.5932E-12  0.9109E+00  0.1124E+02
  758.5778 1047.1285  0.1070E-03  0.3524E+00  0.3296E-07  0.9520E-03  0.4431E+03  0.9403E-13  0.5065E+00  0.6564E+01
 1047.1285 1445.4401  0.3691E-04  0.1641E+00  0.8412E-08  0.3557E-03  0.2705E+03  0.1491E-13  0.2830E+00  0.3842E+01
 1445.4401 1995.2621  0.1273E-04  0.7646E-01  0.2147E-08  0.1326E-03  0.1652E+03  0.2364E-14  0.1589E+00  0.2253E+01
 1995.2621 2754.2290  0.4393E-05  0.3562E-01  0.5448E-09  0.4954E-04  0.1009E+03  0.3749E-15  0.8959E-01  0.1324E+01
 2754.2290 3801.8933  0.1516E-05  0.1665E-01  0.1385E-09  0.1854E-04  0.6158E+02  0.5947E-16  0.5071E-01  0.7798E+00
 3801.8933 5248.0747  0.5236E-06  0.7768E-02  0.3525E-10  0.6938E-05  0.3760E+02  0.9433E-17  0.2881E-01  0.4599E+00
 5248.0747 7244.3579  0.1811E-06  0.3627E-02  0.9002E-11  0.2593E-05  0.2296E+02  0.1497E-17  0.1642E-01  0.2717E+00
 7244.3579 10000.0000  0.6249E-07  0.1691E-02  0.2296E-11  0.9715E-06  0.1402E+02  0.2374E-18  0.9388E-02  0.1608E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.5028E+08  0.1603E+09  0.1909E+08  0.6769E+08  0.7725E+09  0.3031E+07  0.6447E+08  0.4742E+08
    0.0014    0.0019  0.6749E+08  0.2152E+09  0.2580E+08  0.9075E+08  0.1040E+10  0.4116E+07  0.8654E+08  0.6360E+08
    0.0019    0.0026  0.8906E+08  0.2834E+09  0.3418E+08  0.1194E+09  0.1379E+10  0.2715E+07  0.1141E+09  0.8389E+08
    0.0026    0.0036  0.1146E+09  0.3651E+09  0.4408E+08  0.1533E+09  0.1793E+10  0.1518E+07  0.1469E+09  0.1081E+09
    0.0036    0.0050  0.1427E+09  0.4543E+09  0.5476E+08  0.1901E+09  0.2266E+10  0.9403E+06  0.1828E+09  0.1350E+09
    0.0050    0.0069  0.1699E+09  0.5414E+09  0.6461E+08  0.2258E+09  0.2755E+10  0.6252E+06  0.2176E+09  0.1616E+09
    0.0069    0.0095  0.1911E+09  0.6115E+09  0.7182E+08  0.2537E+09  0.3182E+10  0.4376E+06  0.2449E+09  0.1832E+09
    0.0095    0.0132  0.2005E+09  0.6427E+09  0.7414E+08  0.2660E+09  0.3437E+10  0.3183E+06  0.2570E+09  0.1941E+09
