====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = .01221 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 17500.E-02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =013289.95
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
460000.E-06  2456.62E-04  1314.52E-05
910000.E-06  2787.05E-04  1155.23E-05
136000.E-05  3078.80E-04  1516.66E-05
181000.E-05  3359.23E-04  1290.13E-05
226000.E-05  3862.01E-04  1410.65E-05
271000.E-05  4173.72E-04  2434.77E-05
316000.E-05  3887.79E-04  2479.37E-05
361000.E-05  3878.78E-04  2788.79E-05
406000.E-05  3942.68E-04  3053.84E-05
451000.E-05  4029.97E-04  2733.85E-05
496000.E-05  3845.40E-04  2404.03E-05
541000.E-05  3629.57E-04  2536.91E-05
586000.E-05  3531.74E-04  2384.60E-05
631000.E-05  3456.50E-04  2223.65E-05
676000.E-05  3276.31E-04  2087.32E-05
721000.E-05  3036.59E-04  1874.09E-05
766000.E-05  2868.98E-04  1831.76E-05
811000.E-05  2701.36E-04  1688.05E-05
856000.E-05  2472.18E-04  1717.86E-05
901000.E-05  2300.00E-04  1450.61E-05
946000.E-05  2114.49E-04  1307.12E-05
991000.E-05  1972.98E-04  1151.58E-05
103600.E-04  1819.94E-04  1162.86E-05
108100.E-04  1619.30E-04  9675.90E-06
112600.E-04  1471.52E-04  7496.17E-06
117100.E-04  1336.63E-04  8037.46E-06
121600.E-04  1216.92E-04  6607.99E-06
126100.E-04  1103.92E-04  5639.25E-06
130600.E-04  9991.65E-05  5093.84E-06
135100.E-04  9032.62E-05  4896.89E-06
139600.E-04  8026.67E-05  4307.02E-06
144100.E-04  7308.72E-05  3652.18E-06
148600.E-04  6390.94E-05  3965.99E-06
153100.E-04  5766.68E-05  2929.36E-06
157600.E-04  5057.63E-05  2795.99E-06
162100.E-04  4512.71E-05  2565.62E-06
166600.E-04  3993.91E-05  2008.03E-06
171100.E-04  3426.01E-05  1979.35E-06
175600.E-04  3154.61E-05  9313.65E-07
180100.E-04  2777.32E-05  9574.94E-07
184600.E-04  2262.96E-05  8678.87E-07
189100.E-04  1976.72E-05  6377.69E-07
193600.E-04  1605.80E-05  8231.67E-07
198100.E-04  1523.37E-05  6810.13E-07
202600.E-04  1259.21E-05  4910.41E-07
207100.E-04  1044.38E-05  3578.71E-07
211600.E-04  9192.89E-06  3915.85E-07
216100.E-04  8716.03E-06  2049.10E-07
220600.E-04  7770.03E-06  4292.66E-07
225100.E-04  6216.64E-06  1714.47E-07
229600.E-04  4956.88E-06  2826.85E-07
234100.E-04  4133.27E-06  2485.40E-07
238600.E-04  3360.28E-06  9458.57E-08
243100.E-04  2698.14E-06  2956.65E-07
247600.E-04  2013.15E-06  4314.78E-08
252100.E-04  2126.66E-06  1418.50E-07
256600.E-04  1781.36E-06  3301.54E-08
261100.E-04  1439.86E-06  1249.39E-07
265600.E-04  1280.85E-06  3780.90E-08
270100.E-04  1076.61E-06  1891.43E-08
274600.E-04  9812.95E-07  6094.89E-08
279100.E-04  6483.11E-07  3051.07E-08
283600.E-04  5912.27E-07  0000.00E+00
288100.E-04  2889.23E-07  4235.12E-08
292600.E-04  2692.39E-07  5556.94E-09
297100.E-04  2249.66E-07  0000.00E+00
301600.E-04  2636.53E-07  0000.00E+00
306100.E-04  3058.77E-07  0000.00E+00
310600.E-04  1223.25E-07  1557.58E-08
315100.E-04  4712.28E-08  0000.00E+00
319600.E-04  3817.65E-08  0000.00E+00
324100.E-04  1568.28E-08  0000.00E+00
328600.E-04  0000.00E+00  0000.00E+00
333100.E-04  0000.00E+00  1861.67E-08
337600.E-04  0000.00E+00  0000.00E+00
342100.E-04  0000.00E+00  0000.00E+00
346600.E-04  0000.00E+00  0000.00E+00
351100.E-04  0000.00E+00  0000.00E+00
355600.E-04  0000.00E+00  0000.00E+00
360100.E-04  0000.00E+00  0000.00E+00
364600.E-04  0000.00E+00  0000.00E+00
369100.E-04  0000.00E+00  0000.00E+00
373600.E-04  0000.00E+00  0000.00E+00
378100.E-04  0000.00E+00  0000.00E+00
382600.E-04  0000.00E+00  0000.00E+00
387100.E-04  0000.00E+00  0000.00E+00
391600.E-04  0000.00E+00  0000.00E+00
396100.E-04  0000.00E+00  0000.00E+00
400600.E-04  0000.00E+00  0000.00E+00
405100.E-04  0000.00E+00  0000.00E+00
409600.E-04  0000.00E+00  0000.00E+00
414100.E-04  0000.00E+00  0000.00E+00
418600.E-04  0000.00E+00  0000.00E+00
423100.E-04  0000.00E+00  0000.00E+00
427600.E-04  0000.00E+00  0000.00E+00
432100.E-04  0000.00E+00  0000.00E+00
436600.E-04  0000.00E+00  0000.00E+00
441100.E-04  0000.00E+00  0000.00E+00
445600.E-04  0000.00E+00  0000.00E+00
450100.E-04  0000.00E+00  0000.00E+00
