====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 3.125 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E-01 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =001069.62
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150100.E-04  3603.75E-03  2605.55E-05
300100.E-04  3615.99E-03  2648.10E-05
450100.E-04  3524.54E-03  3135.48E-05
600100.E-04  3635.72E-03  2470.51E-05
750100.E-04  3604.03E-03  3457.27E-05
900100.E-04  3672.90E-03  5856.29E-05
105010.E-03  3706.54E-03  5896.17E-05
120010.E-03  3452.60E-03  3550.12E-05
135010.E-03  3419.09E-03  4151.63E-05
150010.E-03  3481.91E-03  4790.70E-05
165010.E-03  3617.88E-03  4387.60E-05
180010.E-03  3555.81E-03  4866.24E-05
195010.E-03  3501.69E-03  3886.19E-05
210010.E-03  3508.90E-03  5341.04E-05
225010.E-03  3514.06E-03  6277.73E-05
240010.E-03  3446.77E-03  6313.13E-05
255010.E-03  3494.51E-03  5572.99E-05
270010.E-03  3501.97E-03  4199.42E-05
285010.E-03  3443.34E-03  5376.90E-05
300010.E-03  3589.65E-03  4333.12E-05
315010.E-03  3512.65E-03  6355.15E-05
330010.E-03  3472.56E-03  6364.15E-05
345010.E-03  3469.23E-03  6104.23E-05
360010.E-03  3410.21E-03  8816.91E-05
375010.E-03  3557.20E-03  8315.32E-05
390010.E-03  3518.75E-03  5909.14E-05
405010.E-03  3528.94E-03  6114.82E-05
420010.E-03  3364.76E-03  7795.74E-05
435010.E-03  3341.07E-03  8081.85E-05
450010.E-03  3364.44E-03  9043.08E-05
465010.E-03  3216.17E-03  8047.14E-05
480010.E-03  3237.88E-03  1002.19E-04
495010.E-03  3238.94E-03  8968.21E-05
510010.E-03  3112.66E-03  9059.11E-05
525010.E-03  3081.24E-03  9196.12E-05
540010.E-03  2946.14E-03  9488.82E-05
555010.E-03  2878.18E-03  7699.93E-05
570010.E-03  2686.80E-03  7534.20E-05
585010.E-03  2710.47E-03  8896.18E-05
600010.E-03  2716.54E-03  7904.39E-05
615010.E-03  2709.23E-03  8384.06E-05
630010.E-03  2538.51E-03  7451.94E-05
645010.E-03  2477.33E-03  7701.47E-05
660010.E-03  2424.99E-03  7077.79E-05
675010.E-03  2262.28E-03  7958.06E-05
690010.E-03  2244.88E-03  7064.04E-05
705010.E-03  2180.63E-03  9033.70E-05
720010.E-03  2179.15E-03  9598.08E-05
735010.E-03  2056.56E-03  1039.45E-04
750010.E-03  2005.98E-03  9361.97E-05
765010.E-03  1869.96E-03  9583.44E-05
780010.E-03  1775.30E-03  8166.83E-05
795010.E-03  1617.84E-03  7363.58E-05
810010.E-03  1463.55E-03  7128.08E-05
825010.E-03  1380.64E-03  7778.86E-05
840010.E-03  1333.50E-03  7560.94E-05
855010.E-03  1232.53E-03  7214.71E-05
870010.E-03  1148.21E-03  5668.77E-05
885010.E-03  1034.08E-03  5207.95E-05
900010.E-03  8872.22E-04  5911.19E-05
915010.E-03  8355.22E-04  4832.72E-05
930010.E-03  7349.10E-04  4877.63E-05
945010.E-03  6408.03E-04  3900.48E-05
960010.E-03  5518.30E-04  3575.34E-05
975010.E-03  4996.50E-04  3113.09E-05
990010.E-03  4440.56E-04  3147.81E-05
100501.E-02  3456.12E-04  2387.23E-05
102001.E-02  2790.00E-04  2141.86E-05
103501.E-02  2804.38E-04  2292.60E-05
105001.E-02  2624.48E-04  2067.64E-05
106501.E-02  1905.76E-04  1895.45E-05
108001.E-02  1584.94E-04  1120.94E-05
109501.E-02  1247.77E-04  1108.21E-05
111001.E-02  1105.43E-04  1026.47E-05
112501.E-02  9746.48E-05  7826.28E-06
114001.E-02  9466.72E-05  7184.04E-06
115501.E-02  6298.38E-05  8486.25E-06
117001.E-02  4697.42E-05  3009.95E-06
118501.E-02  3958.12E-05  3125.84E-06
120001.E-02  2564.61E-05  2963.97E-06
121501.E-02  1421.90E-05  7534.10E-07
123001.E-02  9194.43E-06  5782.16E-07
124501.E-02  8943.90E-06  2470.96E-07
126001.E-02  1670.07E-06  4091.88E-08
127501.E-02  1381.26E-07  1842.46E-08
129001.E-02  0000.00E+00  0000.00E+00
130501.E-02  0000.00E+00  0000.00E+00
132001.E-02  0000.00E+00  0000.00E+00
133501.E-02  0000.00E+00  0000.00E+00
135001.E-02  0000.00E+00  0000.00E+00
136501.E-02  0000.00E+00  0000.00E+00
138001.E-02  0000.00E+00  0000.00E+00
139501.E-02  0000.00E+00  0000.00E+00
141001.E-02  0000.00E+00  0000.00E+00
142501.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145501.E-02  0000.00E+00  0000.00E+00
147001.E-02  0000.00E+00  0000.00E+00
148501.E-02  0000.00E+00  0000.00E+00
150001.E-02  0000.00E+00  0000.00E+00
