====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 94900 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =036414.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1142.92E-04  2515.81E-11
300000.E-01  1142.17E-04  4161.47E-11
450000.E-01  1142.62E-04  3246.09E-11
600000.E-01  1143.50E-04  1185.13E-11
750000.E-01  1143.86E-04  5147.50E-11
900000.E-01  1143.96E-04  7245.97E-09
105000.E+00  1144.02E-04  8565.16E-11
120000.E+00  1144.41E-04  4828.55E-11
135000.E+00  1144.15E-04  4566.41E-10
150000.E+00  1143.45E-04  4297.95E-10
165000.E+00  1143.71E-04  1695.92E-10
180000.E+00  1143.86E-04  6328.46E-11
195000.E+00  1143.66E-04  2174.98E-10
210000.E+00  1143.85E-04  2976.21E-10
225000.E+00  1144.24E-04  2393.77E-09
240000.E+00  1144.17E-04  1930.64E-09
255000.E+00  1143.48E-04  2549.78E-10
270000.E+00  1143.62E-04  4516.07E-10
285000.E+00  1143.62E-04  7254.07E-09
300000.E+00  1143.16E-04  8903.70E-10
315000.E+00  1143.28E-04  4746.33E-10
330000.E+00  1143.74E-04  1134.61E-09
345000.E+00  1144.02E-04  4506.09E-10
360000.E+00  1143.98E-04  8104.61E-10
375000.E+00  1143.84E-04  5008.90E-10
390000.E+00  1142.95E-04  2008.42E-09
405000.E+00  1143.87E-04  7031.14E-10
420000.E+00  1145.38E-04  5854.70E-10
435000.E+00  1146.69E-04  2692.55E-09
450000.E+00  1147.56E-04  1165.86E-09
465000.E+00  1146.76E-04  6269.22E-09
480000.E+00  1147.57E-04  8379.45E-10
495000.E+00  1148.33E-04  1077.09E-09
510000.E+00  1147.64E-04  3700.45E-09
525000.E+00  1147.83E-04  1381.67E-09
540000.E+00  1146.68E-04  8484.54E-09
555000.E+00  1147.54E-04  6168.60E-10
570000.E+00  1147.58E-04  1833.45E-09
585000.E+00  1147.26E-04  1584.18E-07
600000.E+00  1146.31E-04  3171.28E-09
615000.E+00  1145.84E-04  1642.66E-09
630000.E+00  1145.48E-04  1083.86E-09
645000.E+00  1146.28E-04  1533.55E-09
660000.E+00  1147.33E-04  9580.83E-10
675000.E+00  1147.63E-04  1486.67E-09
690000.E+00  1147.00E-04  6179.65E-09
705000.E+00  1146.78E-04  1427.02E-08
720000.E+00  1146.60E-04  4069.12E-09
735000.E+00  1148.49E-04  4003.24E-09
750000.E+00  1149.61E-04  1244.29E-09
765000.E+00  1148.67E-04  4285.59E-09
780000.E+00  1148.91E-04  1269.14E-08
795000.E+00  1148.29E-04  2433.12E-09
810000.E+00  1148.87E-04  2440.33E-09
825000.E+00  1148.51E-04  1687.41E-09
840000.E+00  1147.24E-04  2731.77E-09
855000.E+00  1146.73E-04  7506.85E-09
870000.E+00  1145.18E-04  2387.62E-09
885000.E+00  1147.37E-04  2545.53E-09
900000.E+00  1149.46E-04  5985.64E-08
915000.E+00  1152.02E-04  7150.75E-09
930000.E+00  1151.58E-04  3435.21E-09
945000.E+00  1152.99E-04  3040.15E-09
960000.E+00  1152.88E-04  2626.28E-09
975000.E+00  1152.65E-04  6251.28E-09
990000.E+00  1150.39E-04  2967.03E-08
100500.E+01  1150.50E-04  3031.13E-09
102000.E+01  1150.61E-04  5837.03E-09
103500.E+01  1152.18E-04  3240.88E-09
105000.E+01  1152.02E-04  1035.11E-08
106500.E+01  1152.26E-04  9329.71E-09
108000.E+01  1153.47E-04  2385.46E-08
109500.E+01  1154.57E-04  4097.82E-09
111000.E+01  1154.09E-04  8163.37E-09
112500.E+01  1153.49E-04  8058.85E-09
114000.E+01  1153.11E-04  8445.31E-09
115500.E+01  1150.46E-04  6315.20E-09
117000.E+01  1149.29E-04  4434.64E-09
118500.E+01  1150.00E-04  2794.23E-09
120000.E+01  1148.80E-04  7859.64E-09
121500.E+01  1149.87E-04  5754.59E-09
123000.E+01  1148.74E-04  4371.11E-09
124500.E+01  1147.60E-04  1001.24E-08
126000.E+01  1150.56E-04  5687.54E-08
127500.E+01  1147.62E-04  2040.22E-08
129000.E+01  1145.75E-04  5835.96E-09
130500.E+01  1141.44E-04  1086.37E-08
132000.E+01  1140.23E-04  5464.80E-09
133500.E+01  1143.54E-04  3785.55E-09
135000.E+01  1142.19E-04  2292.64E-08
136500.E+01  1141.93E-04  2156.69E-08
138000.E+01  1144.44E-04  4941.48E-08
139500.E+01  1150.79E-04  1003.54E-08
141000.E+01  1153.53E-04  1115.12E-08
142500.E+01  1147.91E-04  6097.58E-09
144000.E+01  1144.93E-04  3565.72E-09
145500.E+01  1145.86E-04  7995.49E-09
147000.E+01  1147.65E-04  3305.51E-09
148500.E+01  1151.78E-04  5738.07E-09
150000.E+01  1148.35E-04  4851.55E-09
