====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 17000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =033033.14
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1512.10E-03  6562.73E-07
300000.E-01  1511.42E-03  5792.58E-08
450000.E-01  1512.14E-03  3814.28E-08
600000.E-01  1512.35E-03  7950.00E-08
750000.E-01  1515.49E-03  5782.77E-07
900000.E-01  1517.82E-03  9196.62E-08
105000.E+00  1518.44E-03  5198.15E-08
120000.E+00  1519.92E-03  3258.69E-07
135000.E+00  1521.76E-03  1186.27E-07
150000.E+00  1524.93E-03  1531.87E-07
165000.E+00  1526.06E-03  1590.17E-06
180000.E+00  1526.29E-03  8884.46E-08
195000.E+00  1529.68E-03  1889.65E-07
210000.E+00  1532.54E-03  1066.10E-07
225000.E+00  1533.35E-03  1014.34E-07
240000.E+00  1534.15E-03  1787.51E-07
255000.E+00  1536.75E-03  6347.49E-07
270000.E+00  1538.41E-03  8784.00E-08
285000.E+00  1541.01E-03  7865.59E-08
300000.E+00  1542.26E-03  1389.00E-07
315000.E+00  1544.70E-03  1656.78E-06
330000.E+00  1546.80E-03  1832.21E-07
345000.E+00  1554.34E-03  3786.06E-07
360000.E+00  1549.51E-03  7003.90E-07
375000.E+00  1552.97E-03  1321.89E-07
390000.E+00  1555.12E-03  6476.71E-08
405000.E+00  1555.07E-03  1797.82E-07
420000.E+00  1557.19E-03  8578.44E-08
435000.E+00  1558.72E-03  1341.37E-07
450000.E+00  1562.83E-03  3151.55E-07
465000.E+00  1563.09E-03  1031.12E-06
480000.E+00  1564.32E-03  7216.89E-08
495000.E+00  1568.03E-03  1533.86E-07
510000.E+00  1568.91E-03  1099.09E-07
525000.E+00  1570.21E-03  1781.57E-07
540000.E+00  1572.68E-03  2851.37E-07
555000.E+00  1572.81E-03  8978.09E-08
570000.E+00  1574.90E-03  1192.83E-07
585000.E+00  1574.74E-03  1164.15E-07
600000.E+00  1577.95E-03  9838.49E-08
615000.E+00  1580.05E-03  8572.85E-08
630000.E+00  1582.97E-03  3598.26E-07
645000.E+00  1586.58E-03  9254.23E-08
660000.E+00  1587.85E-03  1030.31E-07
675000.E+00  1589.68E-03  1005.84E-07
690000.E+00  1591.36E-03  8553.30E-07
705000.E+00  1593.60E-03  1633.84E-07
720000.E+00  1595.15E-03  1049.92E-07
735000.E+00  1597.01E-03  1305.87E-07
750000.E+00  1599.88E-03  4629.28E-07
765000.E+00  1602.05E-03  1060.00E-07
780000.E+00  1600.74E-03  1331.39E-07
795000.E+00  1603.61E-03  1667.46E-07
810000.E+00  1606.17E-03  1356.76E-07
825000.E+00  1609.78E-03  3707.98E-07
840000.E+00  1611.11E-03  1090.85E-07
855000.E+00  1614.61E-03  1327.09E-07
870000.E+00  1617.78E-03  1335.17E-07
885000.E+00  1617.97E-03  2617.21E-07
900000.E+00  1619.76E-03  1882.51E-07
915000.E+00  1621.33E-03  2647.92E-07
930000.E+00  1625.08E-03  2750.79E-07
945000.E+00  1626.94E-03  4112.33E-06
960000.E+00  1631.10E-03  7471.89E-08
975000.E+00  1631.90E-03  9306.84E-08
990000.E+00  1635.40E-03  1288.97E-07
100500.E+01  1638.10E-03  3122.66E-07
102000.E+01  1637.07E-03  1108.17E-07
103500.E+01  1636.53E-03  2153.56E-07
105000.E+01  1641.28E-03  3317.09E-07
106500.E+01  1643.82E-03  1378.02E-07
108000.E+01  1644.70E-03  1243.54E-07
109500.E+01  1646.47E-03  1280.88E-07
111000.E+01  1648.82E-03  1384.46E-07
112500.E+01  1655.98E-03  2527.97E-07
114000.E+01  1660.29E-03  6980.09E-08
115500.E+01  1658.56E-03  1056.44E-07
117000.E+01  1660.39E-03  1999.42E-07
118500.E+01  1662.10E-03  2270.22E-06
120000.E+01  1664.41E-03  7380.94E-08
121500.E+01  1666.89E-03  2011.10E-07
123000.E+01  1670.96E-03  1110.72E-07
124500.E+01  1672.48E-03  1348.15E-07
126000.E+01  1673.21E-03  1575.01E-07
127500.E+01  1675.27E-03  1029.17E-07
129000.E+01  1682.01E-03  2341.05E-07
130500.E+01  1683.04E-03  4962.91E-07
132000.E+01  1686.52E-03  1419.93E-07
133500.E+01  1689.92E-03  5931.41E-07
135000.E+01  1691.80E-03  1297.80E-07
136500.E+01  1693.03E-03  9847.94E-08
138000.E+01  1700.87E-03  2526.90E-07
139500.E+01  1696.29E-03  2506.06E-07
141000.E+01  1697.17E-03  1167.82E-07
142500.E+01  1697.41E-03  1122.27E-07
144000.E+01  1698.60E-03  1041.39E-07
145500.E+01  1700.56E-03  1672.30E-07
147000.E+01  1705.72E-03  2386.77E-07
148500.E+01  1707.01E-03  1689.94E-07
150000.E+01  1709.24E-03  1519.51E-07
