====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 12600 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =060889.08
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  7044.71E-04  2156.01E-09
300000.E-01  7044.59E-04  3291.24E-09
450000.E-01  7047.55E-04  1132.32E-08
600000.E-01  7052.74E-04  1617.81E-08
750000.E-01  7059.33E-04  1829.12E-08
900000.E-01  7057.15E-04  2214.76E-08
105000.E+00  7054.39E-04  1287.04E-07
120000.E+00  7060.37E-04  4410.86E-08
135000.E+00  7063.16E-04  8599.21E-08
150000.E+00  7073.04E-04  1198.04E-07
165000.E+00  7084.76E-04  1462.66E-07
180000.E+00  7088.52E-04  4025.94E-08
195000.E+00  7087.40E-04  3899.28E-08
210000.E+00  7089.26E-04  3798.89E-08
225000.E+00  7099.55E-04  1024.47E-07
240000.E+00  7109.79E-04  3477.64E-08
255000.E+00  7115.95E-04  4115.71E-08
270000.E+00  7125.24E-04  4546.15E-08
285000.E+00  7129.25E-04  5667.80E-08
300000.E+00  7129.70E-04  4229.25E-08
315000.E+00  7123.99E-04  6267.71E-08
330000.E+00  7137.57E-04  3489.68E-08
345000.E+00  7141.96E-04  5805.62E-08
360000.E+00  7145.95E-04  6178.79E-08
375000.E+00  7150.17E-04  6129.72E-08
390000.E+00  7154.94E-04  6864.61E-08
405000.E+00  7162.93E-04  6712.19E-08
420000.E+00  7167.30E-04  7142.71E-08
435000.E+00  7174.25E-04  3913.36E-08
450000.E+00  7182.31E-04  6200.19E-08
465000.E+00  7184.29E-04  3391.46E-08
480000.E+00  7188.39E-04  5565.43E-08
495000.E+00  7190.14E-04  9757.50E-08
510000.E+00  7194.62E-04  6185.10E-08
525000.E+00  7202.45E-04  4297.86E-08
540000.E+00  7207.02E-04  3140.60E-08
555000.E+00  7214.77E-04  8745.52E-08
570000.E+00  7220.29E-04  2845.65E-08
585000.E+00  7225.90E-04  1459.15E-07
600000.E+00  7233.74E-04  1756.95E-07
615000.E+00  7236.37E-04  3074.31E-07
630000.E+00  7239.05E-04  5879.43E-07
645000.E+00  7242.19E-04  1683.38E-07
660000.E+00  7250.53E-04  6501.39E-08
675000.E+00  7257.27E-04  7940.98E-08
690000.E+00  7261.58E-04  2878.01E-07
705000.E+00  7265.67E-04  9817.30E-08
720000.E+00  7271.14E-04  4119.36E-08
735000.E+00  7274.11E-04  6026.93E-08
750000.E+00  7282.13E-04  6410.27E-08
765000.E+00  7288.64E-04  4057.32E-08
780000.E+00  7296.64E-04  6303.62E-08
795000.E+00  7303.15E-04  4000.87E-08
810000.E+00  7316.23E-04  5639.49E-08
825000.E+00  7311.31E-04  1023.77E-07
840000.E+00  7317.23E-04  4056.14E-08
855000.E+00  7322.31E-04  1722.11E-07
870000.E+00  7329.98E-04  1592.57E-07
885000.E+00  7336.88E-04  1241.55E-07
900000.E+00  7343.85E-04  1027.71E-07
915000.E+00  7343.55E-04  1031.70E-07
930000.E+00  7343.95E-04  5978.99E-08
945000.E+00  7350.73E-04  5801.92E-08
960000.E+00  7360.87E-04  5646.88E-07
975000.E+00  7365.64E-04  9165.15E-08
990000.E+00  7375.18E-04  7363.19E-08
100500.E+01  7383.68E-04  3085.57E-07
102000.E+01  7388.97E-04  1097.50E-07
103500.E+01  7395.07E-04  1001.45E-06
105000.E+01  7396.98E-04  7878.72E-08
106500.E+01  7403.41E-04  1127.61E-07
108000.E+01  7408.93E-04  6047.74E-08
109500.E+01  7419.05E-04  3844.72E-08
111000.E+01  7425.78E-04  6709.18E-08
112500.E+01  7434.78E-04  1555.87E-06
114000.E+01  7437.89E-04  8042.33E-08
115500.E+01  7436.81E-04  7455.74E-08
117000.E+01  7440.58E-04  4332.71E-08
118500.E+01  7444.09E-04  1262.42E-07
120000.E+01  7454.46E-04  5732.46E-08
121500.E+01  7460.46E-04  1085.24E-07
123000.E+01  7464.21E-04  1128.12E-06
124500.E+01  7473.19E-04  6397.22E-08
126000.E+01  7473.47E-04  2098.77E-08
127500.E+01  7485.84E-04  7358.45E-08
129000.E+01  7493.80E-04  6270.06E-08
130500.E+01  7489.66E-04  4991.55E-08
132000.E+01  7493.88E-04  4158.24E-08
133500.E+01  7506.22E-04  5889.15E-08
135000.E+01  7513.16E-04  4587.80E-08
136500.E+01  7516.34E-04  3999.98E-08
138000.E+01  7516.75E-04  5768.07E-08
139500.E+01  7525.18E-04  4390.75E-08
141000.E+01  7525.30E-04  1122.49E-07
142500.E+01  7533.72E-04  2472.01E-07
144000.E+01  7539.60E-04  2035.38E-07
145500.E+01  7545.20E-04  2805.03E-07
147000.E+01  7553.77E-04  2721.90E-07
148500.E+01  7579.59E-04  1938.10E-07
150000.E+01  7582.33E-04  8122.94E-07
