                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.6936E+07 (#/cm^2/sec)
 95% Total Flux        =   0.1282E+09 (#/cm^2/sec)
  5% Total Flux        =   0.5152E+06 (#/cm^2/sec)
  95% Total Flux       =   0.1282E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.1623E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.2599E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.2664E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5249E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.1299E+01  0.2533E+03  0.1956E-02  0.2533E+03  0.5738E+05  0.7939E-08  0.8150E+02  0.7215E+03
   20.8930   27.5423  0.6009E+00  0.1448E+03  0.7261E-03  0.1448E+03  0.3452E+05  0.2206E-08  0.4536E+02  0.4036E+03
   27.5423   36.3078  0.2744E+00  0.8336E+02  0.2698E-03  0.8336E+02  0.2135E+05  0.6120E-09  0.2557E+02  0.2297E+03
   36.3078   47.8630  0.1260E+00  0.4796E+02  0.9917E-04  0.4796E+02  0.1336E+05  0.1696E-09  0.1458E+02  0.1327E+03
   47.8630   63.0957  0.5796E-01  0.2750E+02  0.3624E-04  0.2750E+02  0.8350E+04  0.4693E-10  0.8395E+01  0.7762E+02
   63.0957   83.1764  0.2657E-01  0.1584E+02  0.1327E-04  0.1584E+02  0.5210E+04  0.1297E-10  0.4878E+01  0.4588E+02
   83.1764  109.6478  0.1225E-01  0.9133E+01  0.4846E-05  0.9133E+01  0.3247E+04  0.3584E-11  0.2856E+01  0.2735E+02
  109.6478  144.5440  0.5635E-02  0.5340E+01  0.1759E-05  0.5340E+01  0.2022E+04  0.9891E-12  0.1685E+01  0.1643E+02
  144.5440  190.5461  0.2594E-02  0.3098E+01  0.6402E-06  0.3098E+01  0.1258E+04  0.2728E-12  0.9997E+00  0.9933E+01
  190.5461  251.1887  0.1196E-02  0.1816E+01  0.2325E-06  0.1816E+01  0.7815E+03  0.7521E-13  0.5966E+00  0.6037E+01
  251.1887  331.1311  0.5510E-03  0.1057E+01  0.8461E-07  0.1057E+01  0.4854E+03  0.2072E-13  0.3579E+00  0.3685E+01
  331.1311  436.5159  0.2552E-03  0.6170E+00  0.3058E-07  0.6170E+00  0.3013E+03  0.5706E-14  0.2157E+00  0.2259E+01
  436.5159  575.4399  0.1175E-03  0.3603E+00  0.1104E-07  0.3603E+00  0.1869E+03  0.1571E-14  0.1305E+00  0.1389E+01
  575.4399  758.5778  0.5378E-04  0.2102E+00  0.3985E-08  0.2102E+00  0.1159E+03  0.4323E-15  0.7928E-01  0.8568E+00
  758.5778 1000.0000  0.2475E-04  0.1234E+00  0.1445E-08  0.1234E+00  0.7183E+02  0.1189E-15  0.4833E-01  0.5299E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3474E+06  0.2391E+07  0.3545E+05  0.2391E+07  0.1702E+08  0.4452E+02  0.6540E+06  0.8878E+06
    0.0013    0.0017  0.4059E+06  0.2936E+07  0.3940E+05  0.2936E+07  0.1809E+08  0.6482E+02  0.7954E+06  0.1114E+07
    0.0017    0.0023  0.4615E+06  0.3578E+07  0.4262E+05  0.3578E+07  0.2572E+08  0.9617E+02  0.9540E+06  0.1387E+07
    0.0023    0.0030  0.5095E+06  0.4308E+07  0.4444E+05  0.4308E+07  0.3568E+08  0.1461E+03  0.1126E+07  0.1705E+07
    0.0030    0.0040  0.5453E+06  0.5182E+07  0.4433E+05  0.5182E+07  0.4745E+08  0.2215E+03  0.1309E+07  0.2076E+07
    0.0040    0.0052  0.5624E+06  0.6121E+07  0.4202E+05  0.6121E+07  0.5918E+08  0.2258E+03  0.1498E+07  0.2507E+07
    0.0052    0.0069  0.5544E+06  0.7339E+07  0.3850E+05  0.7339E+07  0.8483E+08  0.2180E+03  0.1689E+07  0.3012E+07
    0.0069    0.0091  0.5148E+06  0.8452E+07  0.3359E+05  0.8452E+07  0.1025E+09  0.2019E+03  0.1871E+07  0.3589E+07
    0.0091    0.0120  0.4545E+06  0.9622E+07  0.2826E+05  0.9622E+07  0.1002E+09  0.1811E+03  0.2024E+07  0.4178E+07
    0.0120    0.0158  0.3794E+06  0.1112E+08  0.2276E+05  0.1112E+08  0.9886E+08  0.1571E+03  0.2128E+07  0.4729E+07
    0.0158    0.0209  0.3021E+06  0.1201E+08  0.1765E+05  0.1201E+08  0.8696E+08  0.1044E+03  0.2169E+07  0.5285E+07
    0.0209    0.0275  0.2348E+06  0.1206E+08  0.1322E+05  0.1206E+08  0.1027E+09  0.6160E+02  0.2130E+07  0.5828E+07
    0.0275    0.0363  0.1759E+06  0.1081E+08  0.9507E+04  0.1081E+08  0.1533E+09  0.3497E+02  0.1992E+07  0.6301E+07
    0.0363    0.0479  0.1255E+06  0.8654E+07  0.6650E+04  0.8654E+07  0.1684E+09  0.1915E+02  0.1738E+07  0.6582E+07
    0.0479    0.0631  0.8778E+05  0.7582E+07  0.4477E+04  0.7582E+07  0.2378E+09  0.1014E+02  0.1381E+07  0.6341E+07
    0.0631    0.0832  0.6078E+05  0.5108E+07  0.2899E+04  0.5108E+07  0.2873E+09  0.5209E+01  0.9781E+06  0.4887E+07
    0.0832    0.1096  0.4151E+05  0.2975E+07  0.1837E+04  0.2975E+07  0.2712E+09  0.2603E+01  0.6556E+06  0.3296E+07
    0.1096    0.1445  0.2831E+05  0.1616E+07  0.1119E+04  0.1616E+07  0.1968E+09  0.1269E+01  0.4540E+06  0.2494E+07
    0.1445    0.1905  0.1910E+05  0.9177E+06  0.6652E+03  0.9177E+06  0.3382E+09  0.5309E+00  0.3293E+06  0.2296E+07
    0.1905    0.2512  0.1276E+05  0.5257E+06  0.3877E+03  0.5257E+06  0.1060E+09  0.2176E+00  0.2379E+06  0.1687E+07
    0.2512    0.3311  0.8412E+04  0.2999E+06  0.2183E+03  0.2999E+06  0.6982E+08  0.8780E-01  0.1702E+06  0.1277E+07
    0.3311    0.4365  0.5479E+04  0.1809E+06  0.1215E+03  0.1809E+06  0.3636E+08  0.3494E-01  0.1195E+06  0.9628E+06
    0.4365    0.5754  0.3535E+04  0.1135E+06  0.6652E+02  0.1135E+06  0.3140E+08  0.1373E-01  0.8206E+05  0.7166E+06
    0.5754    0.7586  0.2257E+04  0.7327E+05  0.3564E+02  0.7327E+05  0.2937E+08  0.5342E-02  0.5488E+05  0.5125E+06
    0.7586    1.0000  0.1429E+04  0.4855E+05  0.1891E+02  0.4855E+05  0.2536E+08  0.2059E-02  0.3579E+05  0.3506E+06
    1.0000    1.3183  0.8921E+03  0.3291E+05  0.9813E+01  0.3291E+05  0.2016E+08  0.7871E-03  0.2288E+05  0.2309E+06
    1.3183    1.7378  0.5523E+03  0.2260E+05  0.5096E+01  0.2260E+05  0.1480E+08  0.2988E-03  0.1448E+05  0.1481E+06
    1.7378    2.2909  0.3407E+03  0.1574E+05  0.2583E+01  0.1574E+05  0.1009E+08  0.1127E-03  0.9154E+04  0.9364E+05
    2.2909    3.0200  0.2092E+03  0.1116E+05  0.1318E+01  0.1116E+05  0.6444E+07  0.4230E-04  0.5834E+04  0.5891E+05
    3.0200    3.9811  0.1286E+03  0.8042E+04  0.6671E+00  0.8042E+04  0.3899E+07  0.1580E-04  0.3771E+04  0.3720E+05
    3.9811    5.2481  0.7846E+02  0.5817E+04  0.3332E+00  0.5817E+04  0.2269E+07  0.5878E-05  0.2483E+04  0.2379E+05
    5.2481    6.9183  0.4795E+02  0.4221E+04  0.1662E+00  0.4221E+04  0.1397E+07  0.2179E-05  0.1668E+04  0.1553E+05
