                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.6108E+03 (#/cm^2/sec)
 95% Total Flux        =   0.2967E+05 (#/cm^2/sec)
  5% Total Flux        =   0.6493E+01 (#/cm^2/sec)
  95% Total Flux       =   0.2967E+05 (#/cm^2/sec)
 Maximum Total Flux    =   0.5679E+07 (#/cm^2/sec)
 Minimum Total Flux    =   0.1387E-02 (#/cm^2/sec)
 Mean Total Flux       =   0.7281E+04 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4593E+05 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.4037E+00  0.1027E+03  0.4947E-03  0.1027E+03  0.2184E+05  0.2111E-08  0.2699E+02  0.2123E+03
   20.8930   27.5423  0.2130E+00  0.6506E+02  0.2146E-03  0.6506E+02  0.1512E+05  0.6877E-09  0.1745E+02  0.1411E+03
   27.5423   36.3078  0.1107E+00  0.4123E+02  0.9185E-04  0.4123E+02  0.1039E+05  0.2197E-09  0.1120E+02  0.9314E+02
   36.3078   47.8630  0.5679E-01  0.2581E+02  0.3823E-04  0.2581E+02  0.7065E+04  0.6900E-10  0.7149E+01  0.6108E+02
   47.8630   63.0957  0.2876E-01  0.1599E+02  0.1568E-04  0.1599E+02  0.4755E+04  0.2133E-10  0.4538E+01  0.3982E+02
   63.0957   83.1764  0.1444E-01  0.9880E+01  0.6303E-05  0.9880E+01  0.3171E+04  0.6501E-11  0.2868E+01  0.2583E+02
   83.1764  109.6478  0.7183E-02  0.6109E+01  0.2515E-05  0.6109E+01  0.2097E+04  0.1957E-11  0.1806E+01  0.1668E+02
  109.6478  144.5440  0.3534E-02  0.3746E+01  0.9885E-06  0.3746E+01  0.1376E+04  0.5825E-12  0.1134E+01  0.1073E+02
  144.5440  190.5461  0.1723E-02  0.2281E+01  0.3871E-06  0.2281E+01  0.8969E+03  0.1717E-12  0.7101E+00  0.6875E+01
  190.5461  251.1887  0.8351E-03  0.1384E+01  0.1505E-06  0.1384E+01  0.5825E+03  0.5017E-13  0.4440E+00  0.4393E+01
  251.1887  331.1311  0.4042E-03  0.8352E+00  0.5757E-07  0.8352E+00  0.3781E+03  0.1455E-13  0.2773E+00  0.2801E+01
  331.1311  436.5159  0.1932E-03  0.5039E+00  0.2181E-07  0.5039E+00  0.2443E+03  0.4190E-14  0.1730E+00  0.1781E+01
  436.5159  575.4399  0.9197E-04  0.3021E+00  0.8198E-08  0.3021E+00  0.1572E+03  0.1200E-14  0.1079E+00  0.1131E+01
  575.4399  758.5778  0.4360E-04  0.1804E+00  0.3082E-08  0.1804E+00  0.1008E+03  0.3416E-15  0.6724E-01  0.7173E+00
  758.5778 1000.0000  0.2064E-04  0.1074E+00  0.1156E-08  0.1074E+00  0.6446E+02  0.9685E-16  0.4191E-01  0.4543E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.1369E+01  0.3268E+02  0.2742E-01  0.3268E+02  0.1344E+05  0.7604E-05  0.7769E+01  0.5498E+02
    0.0013    0.0017  0.1755E+01  0.4212E+02  0.3487E-01  0.4212E+02  0.1721E+05  0.9641E-05  0.1000E+02  0.7064E+02
    0.0017    0.0023  0.2239E+01  0.5412E+02  0.4412E-01  0.5412E+02  0.2196E+05  0.1215E-04  0.1284E+02  0.9043E+02
    0.0023    0.0030  0.2842E+01  0.6922E+02  0.5557E-01  0.6922E+02  0.2788E+05  0.1523E-04  0.1642E+02  0.1153E+03
    0.0030    0.0040  0.3591E+01  0.8814E+02  0.6952E-01  0.8814E+02  0.3521E+05  0.1894E-04  0.2091E+02  0.1463E+03
    0.0040    0.0052  0.4514E+01  0.1119E+03  0.8615E-01  0.1119E+03  0.4421E+05  0.2337E-04  0.2649E+02  0.1848E+03
    0.0052    0.0069  0.5638E+01  0.1413E+03  0.1058E+00  0.1413E+03  0.5513E+05  0.2857E-04  0.3340E+02  0.2320E+03
    0.0069    0.0091  0.6990E+01  0.1772E+03  0.1288E+00  0.1772E+03  0.6824E+05  0.3457E-04  0.4186E+02  0.2894E+03
    0.0091    0.0120  0.8591E+01  0.2205E+03  0.1549E+00  0.2205E+03  0.8375E+05  0.4134E-04  0.5211E+02  0.3585E+03
    0.0120    0.0158  0.1045E+02  0.2722E+03  0.1848E+00  0.2722E+03  0.1018E+06  0.4878E-04  0.6440E+02  0.4406E+03
    0.0158    0.0209  0.1261E+02  0.3330E+03  0.2174E+00  0.3330E+03  0.1225E+06  0.5673E-04  0.7894E+02  0.5368E+03
    0.0209    0.0275  0.1503E+02  0.4046E+03  0.2513E+00  0.4046E+03  0.1456E+06  0.6490E-04  0.9590E+02  0.6478E+03
    0.0275    0.0363  0.1768E+02  0.4869E+03  0.2865E+00  0.4869E+03  0.1709E+06  0.7289E-04  0.1154E+03  0.7739E+03
    0.0363    0.0479  0.2048E+02  0.5782E+03  0.3202E+00  0.5782E+03  0.1978E+06  0.8024E-04  0.1373E+03  0.9143E+03
    0.0479    0.0631  0.2343E+02  0.6788E+03  0.3501E+00  0.6788E+03  0.2254E+06  0.8637E-04  0.1615E+03  0.1067E+04
    0.0631    0.0832  0.2630E+02  0.7858E+03  0.3761E+00  0.7858E+03  0.2525E+06  0.9072E-04  0.1876E+03  0.1231E+04
    0.0832    0.1096  0.2901E+02  0.8998E+03  0.3946E+00  0.8998E+03  0.2777E+06  0.9278E-04  0.2150E+03  0.1400E+04
    0.1096    0.1445  0.3142E+02  0.1017E+04  0.4036E+00  0.1017E+04  0.2996E+06  0.8923E-04  0.2430E+03  0.1571E+04
    0.1445    0.1905  0.3328E+02  0.1126E+04  0.4001E+00  0.1126E+04  0.3166E+06  0.8302E-04  0.2704E+03  0.1737E+04
    0.1905    0.2512  0.3452E+02  0.1224E+04  0.3851E+00  0.1224E+04  0.3274E+06  0.7460E-04  0.2962E+03  0.1893E+04
    0.2512    0.3311  0.3498E+02  0.1320E+04  0.3603E+00  0.1320E+04  0.3310E+06  0.6464E-04  0.3191E+03  0.2033E+04
    0.3311    0.4365  0.3450E+02  0.1398E+04  0.3262E+00  0.1398E+04  0.3268E+06  0.5392E-04  0.3381E+03  0.2149E+04
    0.4365    0.5754  0.3320E+02  0.1451E+04  0.2874E+00  0.1451E+04  0.3150E+06  0.3957E-04  0.3520E+03  0.2237E+04
    0.5754    0.7586  0.3116E+02  0.1470E+04  0.2435E+00  0.1470E+04  0.2964E+06  0.2657E-04  0.3600E+03  0.2294E+04
    0.7586    1.0000  0.2855E+02  0.1477E+04  0.1989E+00  0.1477E+04  0.2721E+06  0.1706E-04  0.3618E+03  0.2316E+04
    1.0000    1.3183  0.2546E+02  0.1457E+04  0.1571E+00  0.1457E+04  0.2439E+06  0.1049E-04  0.3573E+03  0.2303E+04
    1.3183    1.7378  0.2207E+02  0.1407E+04  0.1198E+00  0.1407E+04  0.2135E+06  0.6184E-05  0.3468E+03  0.2257E+04
    1.7378    2.2909  0.1863E+02  0.1342E+04  0.8816E-01  0.1342E+04  0.1961E+06  0.3498E-05  0.3309E+03  0.2180E+04
    2.2909    3.0200  0.1531E+02  0.1248E+04  0.6291E-01  0.1248E+04  0.1908E+06  0.1903E-05  0.3106E+03  0.2077E+04
    3.0200    3.9811  0.1226E+02  0.1144E+04  0.4313E-01  0.1144E+04  0.1819E+06  0.9967E-06  0.2871E+03  0.1954E+04
    3.9811    5.2481  0.9565E+01  0.1038E+04  0.2900E-01  0.1038E+04  0.1699E+06  0.5040E-06  0.2615E+03  0.1815E+04
    5.2481    6.9183  0.7301E+01  0.9289E+03  0.1876E-01  0.9289E+03  0.1563E+06  0.2466E-06  0.2349E+03  0.1666E+04
    6.9183    9.1201  0.5463E+01  0.8127E+03  0.1161E-01  0.8127E+03  0.1466E+06  0.1170E-06  0.2083E+03  0.1513E+04
    9.1201   12.0226  0.4009E+01  0.7080E+03  0.7142E-02  0.7080E+03  0.1353E+06  0.5398E-07  0.1826E+03  0.1361E+04
   12.0226   15.8489  0.2885E+01  0.6106E+03  0.4276E-02  0.6106E+03  0.1229E+06  0.2426E-07  0.1584E+03  0.1212E+04
