                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8134E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2568E+10 (#/cm^2/sec)
  5% Total Flux        =   0.3241E+09 (#/cm^2/sec)
  95% Total Flux       =   0.2568E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1241E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.5834E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.1034E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.7733E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.5813E+01  0.8554E+03  0.1097E-01  0.8554E+03  0.5451E+06  0.4647E-07  0.4572E+03  0.5834E+04
   20.8930   27.5423  0.2158E+01  0.3989E+03  0.3216E-02  0.3989E+03  0.1972E+06  0.1010E-07  0.1783E+03  0.2119E+04
   27.5423   36.3078  0.8309E+00  0.1945E+03  0.9730E-03  0.1945E+03  0.7767E+05  0.2272E-08  0.7703E+02  0.8716E+03
   36.3078   47.8630  0.3282E+00  0.9887E+02  0.3025E-03  0.9887E+02  0.3599E+05  0.5264E-09  0.3583E+02  0.3932E+03
   47.8630   63.0957  0.1322E+00  0.5095E+02  0.9660E-04  0.5095E+02  0.1952E+05  0.1250E-09  0.1761E+02  0.1899E+03
   63.0957   83.1764  0.5425E-01  0.2686E+02  0.3102E-04  0.2686E+02  0.1080E+05  0.3028E-10  0.9029E+01  0.9656E+02
   83.1764  109.6478  0.2263E-01  0.1444E+02  0.1008E-04  0.1444E+02  0.6084E+04  0.7468E-11  0.4781E+01  0.5104E+02
  109.6478  144.5440  0.9537E-02  0.7805E+01  0.3310E-05  0.7805E+01  0.3474E+04  0.1869E-11  0.2598E+01  0.2781E+02
  144.5440  190.5461  0.4088E-02  0.4327E+01  0.1108E-05  0.4327E+01  0.2007E+04  0.4739E-12  0.1442E+01  0.1552E+02
  190.5461  251.1887  0.1775E-02  0.2412E+01  0.3746E-06  0.2412E+01  0.1171E+04  0.1214E-12  0.8140E+00  0.8826E+01
  251.1887  331.1311  0.7742E-03  0.1356E+01  0.1273E-06  0.1356E+01  0.6886E+03  0.3141E-13  0.4662E+00  0.5098E+01
  331.1311  436.5159  0.3417E-03  0.7633E+00  0.4381E-07  0.7633E+00  0.4079E+03  0.8191E-14  0.2703E+00  0.2982E+01
  436.5159  575.4399  0.1514E-03  0.4330E+00  0.1513E-07  0.4330E+00  0.2430E+03  0.2151E-14  0.1583E+00  0.1763E+01
  575.4399  758.5778  0.6731E-04  0.2471E+00  0.5256E-08  0.2471E+00  0.1455E+03  0.5680E-15  0.9355E-01  0.1052E+01
  758.5778 1000.0000  0.3005E-04  0.1416E+00  0.1834E-08  0.1416E+00  0.8789E+02  0.1508E-15  0.5571E-01  0.6322E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
