                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1005E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9099E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1586E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9099E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1226E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1005E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2449E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4789E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.3527E+01  0.9010E+02  0.5915E+00  0.9010E+02  0.8008E+04  0.5558E-18  0.3307E+02  0.1846E+03
   20.8930   27.5423  0.1639E+01  0.4146E+02  0.2810E+00  0.4146E+02  0.4301E+04  0.2317E-19  0.1585E+02  0.9201E+02
   27.5423   36.3078  0.7616E+00  0.1884E+02  0.1336E+00  0.1884E+02  0.2310E+04  0.9613E-21  0.7633E+01  0.4625E+02
   36.3078   47.8630  0.3545E+00  0.8820E+01  0.6331E-01  0.8820E+01  0.1240E+04  0.3973E-22  0.3692E+01  0.2345E+02
   47.8630   63.0957  0.1648E+00  0.4110E+01  0.2991E-01  0.4110E+01  0.6656E+03  0.1637E-23  0.1793E+01  0.1199E+02
   63.0957   83.1764  0.7658E-01  0.1938E+01  0.1412E-01  0.1938E+01  0.3573E+03  0.6728E-25  0.8754E+00  0.6182E+01
   83.1764  109.6478  0.3529E-01  0.9073E+00  0.6671E-02  0.9073E+00  0.1918E+03  0.2759E-26  0.4293E+00  0.3211E+01
  109.6478  144.5440  0.1633E-01  0.4338E+00  0.3134E-02  0.4338E+00  0.1029E+03  0.1023E-27  0.2115E+00  0.1680E+01
  144.5440  190.5461  0.7480E-02  0.2106E+00  0.1476E-02  0.2106E+00  0.5524E+02  0.1000E-32  0.1047E+00  0.8842E+00
  190.5461  251.1887  0.3421E-02  0.9963E-01  0.6948E-03  0.9963E-01  0.2965E+02  0.1000E-32  0.5207E-01  0.4681E+00
