                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.4692E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2282E+10 (#/cm^2/sec)
  5% Total Flux        =   0.1243E+09 (#/cm^2/sec)
  95% Total Flux       =   0.2282E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1840E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2884E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.7522E+09 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8779E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.1706E+02  0.6886E+03  0.2123E+01  0.6886E+03  0.1360E+06  0.9487E-16  0.3177E+03  0.2767E+04
   20.8930   27.5423  0.6374E+01  0.2283E+03  0.8431E+00  0.2283E+03  0.4405E+05  0.2014E-17  0.1029E+03  0.8172E+03
   27.5423   36.3078  0.2454E+01  0.8187E+02  0.3435E+00  0.8187E+02  0.1624E+05  0.4705E-19  0.3649E+02  0.2797E+03
   36.3078   47.8630  0.9675E+00  0.3040E+02  0.1432E+00  0.3040E+02  0.6433E+04  0.1191E-20  0.1381E+02  0.1056E+03
   47.8630   63.0957  0.3913E+00  0.1186E+02  0.6075E-01  0.1186E+02  0.2691E+04  0.3227E-22  0.5491E+01  0.4268E+02
   63.0957   83.1764  0.1618E+00  0.4731E+01  0.2613E-01  0.4731E+01  0.1175E+04  0.9168E-24  0.2271E+01  0.1817E+02
   83.1764  109.6478  0.6763E-01  0.1956E+01  0.1135E-01  0.1956E+01  0.5305E+03  0.2641E-25  0.9697E+00  0.8060E+01
  109.6478  144.5440  0.2860E-01  0.8207E+00  0.4990E-02  0.8207E+00  0.2463E+03  0.7983E-27  0.4253E+00  0.3694E+01
  144.5440  190.5461  0.1222E-01  0.3591E+00  0.2216E-02  0.3591E+00  0.1169E+03  0.1000E-32  0.1908E+00  0.1739E+01
  190.5461  251.1887  0.5283E-02  0.1603E+00  0.9896E-03  0.1603E+00  0.5655E+02  0.1000E-32  0.8729E-01  0.8374E+00
  251.1887  331.1311  0.2287E-02  0.7245E-01  0.4434E-03  0.7245E-01  0.2777E+02  0.1000E-32  0.4062E-01  0.4110E+00
  331.1311  436.5159  0.9999E-03  0.3267E-01  0.1991E-03  0.3267E-01  0.1382E+02  0.1000E-32  0.1919E-01  0.2050E+00
  436.5159  575.4399  0.4366E-03  0.1508E-01  0.8953E-04  0.1508E-01  0.6951E+01  0.1000E-32  0.9182E-02  0.1037E+00
  575.4399  758.5778  0.1921E-03  0.7076E-02  0.4045E-04  0.7076E-02  0.3568E+01  0.1000E-32  0.4447E-02  0.5310E-01
  758.5778 1000.0000  0.8450E-04  0.3353E-02  0.1839E-04  0.3353E-02  0.1873E+01  0.1000E-32  0.2176E-02  0.2747E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3594E+01  0.5658E+02  0.4577E+00  0.5658E+02  0.9288E+03  0.7426E-07  0.1434E+02  0.4248E+02
    0.0013    0.0017  0.4874E+01  0.7652E+02  0.6168E+00  0.7652E+02  0.1252E+04  0.1071E-06  0.1942E+02  0.5737E+02
    0.0017    0.0023  0.6640E+01  0.1045E+03  0.8355E+00  0.1045E+03  0.1692E+04  0.1567E-06  0.2641E+02  0.7778E+02
    0.0023    0.0030  0.9098E+01  0.1425E+03  0.1132E+01  0.1425E+03  0.2296E+04  0.2329E-06  0.3609E+02  0.1059E+03
    0.0030    0.0040  0.1254E+02  0.1967E+03  0.1551E+01  0.1967E+03  0.3131E+04  0.3526E-06  0.4960E+02  0.1449E+03
    0.0040    0.0052  0.1736E+02  0.2722E+03  0.2131E+01  0.2722E+03  0.4291E+04  0.5454E-06  0.6861E+02  0.1996E+03
    0.0052    0.0069  0.2429E+02  0.3792E+03  0.2936E+01  0.3792E+03  0.5915E+04  0.8649E-06  0.9565E+02  0.2767E+03
    0.0069    0.0091  0.3435E+02  0.5345E+03  0.4078E+01  0.5345E+03  0.8213E+04  0.1412E-05  0.1346E+03  0.3868E+03
    0.0091    0.0120  0.4907E+02  0.7624E+03  0.5725E+01  0.7624E+03  0.1150E+05  0.2386E-05  0.1913E+03  0.5459E+03
    0.0120    0.0158  0.7114E+02  0.1102E+04  0.8116E+01  0.1102E+04  0.1625E+05  0.4195E-05  0.2756E+03  0.7795E+03
    0.0158    0.0209  0.1051E+03  0.1612E+04  0.1165E+02  0.1612E+04  0.2323E+05  0.7730E-05  0.4030E+03  0.1128E+04
    0.0209    0.0275  0.1579E+03  0.2408E+04  0.1705E+02  0.2408E+04  0.3364E+05  0.1505E-04  0.6002E+03  0.1661E+04
    0.0275    0.0363  0.2431E+03  0.3693E+04  0.2527E+02  0.3693E+04  0.4949E+05  0.3130E-04  0.9139E+03  0.2494E+04
    0.0363    0.0479  0.3867E+03  0.5783E+04  0.3843E+02  0.5783E+04  0.7416E+05  0.7038E-04  0.1430E+04  0.3839E+04
    0.0479    0.0631  0.6335E+03  0.9396E+04  0.5967E+02  0.9396E+04  0.1136E+06  0.1738E-03  0.2313E+04  0.6094E+04
    0.0631    0.0832  0.1078E+04  0.1585E+05  0.9458E+02  0.1585E+05  0.1787E+06  0.4804E-03  0.3905E+04  0.1006E+05
    0.0832    0.1096  0.1947E+04  0.2808E+05  0.1553E+03  0.2808E+05  0.2903E+06  0.1524E-02  0.6962E+04  0.1749E+05
    0.1096    0.1445  0.3763E+04  0.5374E+05  0.2670E+03  0.5374E+05  0.5308E+06  0.5723E-02  0.1335E+05  0.3261E+05
    0.1445    0.1905  0.7982E+04  0.1144E+06  0.4704E+03  0.1144E+06  0.1229E+07  0.2652E-01  0.2833E+05  0.6727E+05
    0.1905    0.2512  0.1922E+05  0.2812E+06  0.8875E+03  0.2812E+06  0.3245E+07  0.1600E+00  0.6994E+05  0.1631E+06
    0.2512    0.3311  0.5469E+05  0.9283E+06  0.1819E+04  0.9283E+06  0.1086E+08  0.1352E+01  0.2235E+06  0.5463E+06
    0.3311    0.4365  0.2014E+06  0.5213E+07  0.4159E+04  0.5213E+07  0.2195E+09  0.1763E+02  0.1263E+07  0.4933E+07
    0.4365    0.5754  0.1123E+07  0.7587E+08  0.1073E+05  0.7587E+08  0.3060E+10  0.4006E+03  0.1604E+08  0.7403E+08
    0.5754    0.7586  0.1107E+08  0.4226E+09  0.3361E+05  0.4226E+09  0.4055E+10  0.1734E+04  0.8757E+08  0.2024E+09
    0.7586    1.0000  0.8623E+08  0.7136E+09  0.1405E+06  0.7136E+09  0.5988E+10  0.4210E+04  0.1888E+09  0.3097E+09
    1.0000    1.3183  0.8899E+08  0.9088E+09  0.4561E+06  0.9088E+09  0.6109E+10  0.9955E+04  0.2243E+09  0.3650E+09
    1.3183    1.7378  0.1429E+08  0.6678E+09  0.1103E+06  0.6678E+09  0.1032E+11  0.9157E+03  0.1362E+09  0.3735E+09
    1.7378    2.2909  0.1260E+07  0.3146E+09  0.2017E+05  0.3146E+09  0.5593E+10  0.1878E+01  0.5644E+08  0.1947E+09
    2.2909    3.0200  0.1522E+06  0.1712E+09  0.5040E+04  0.1712E+09  0.6089E+10  0.6370E-02  0.2677E+08  0.1225E+09
    3.0200    3.9811  0.3000E+05  0.3936E+08  0.1540E+04  0.3936E+08  0.2067E+10  0.3501E-04  0.1097E+08  0.5985E+08
    3.9811    5.2481  0.8054E+04  0.3053E+07  0.5541E+03  0.3053E+07  0.1743E+10  0.2880E-06  0.2841E+07  0.3812E+08
    5.2481    6.9183  0.2627E+04  0.4454E+06  0.2215E+03  0.4454E+06  0.1222E+10  0.3280E-08  0.5998E+06  0.1415E+08
    6.9183    9.1201  0.9878E+03  0.9239E+05  0.9541E+02  0.9239E+05  0.1203E+09  0.4852E-10  0.7503E+05  0.1571E+07
    9.1201   12.0226  0.4116E+03  0.2571E+05  0.4400E+02  0.2571E+05  0.1553E+08  0.8861E-12  0.1460E+05  0.2118E+06
   12.0226   15.8489  0.1826E+03  0.8764E+04  0.2130E+02  0.8764E+04  0.2807E+07  0.1920E-13  0.4305E+04  0.4534E+05
   15.8489   20.8930  0.8603E+02  0.3473E+04  0.1071E+02  0.3473E+04  0.6858E+06  0.4785E-15  0.1602E+04  0.1396E+05
   20.8930   27.5423  0.4238E+02  0.1518E+04  0.5606E+01  0.1518E+04  0.2929E+06  0.1339E-16  0.6842E+03  0.5434E+04
   27.5423   36.3078  0.2151E+02  0.7176E+03  0.3011E+01  0.7176E+03  0.1424E+06  0.4124E-18  0.3199E+03  0.2452E+04
   36.3078   47.8630  0.1118E+02  0.3513E+03  0.1654E+01  0.3513E+03  0.7434E+05  0.1377E-19  0.1596E+03  0.1220E+04
   47.8630   63.0957  0.5960E+01  0.1806E+03  0.9254E+00  0.1806E+03  0.4099E+05  0.4916E-21  0.8365E+02  0.6501E+03
   63.0957   83.1764  0.3249E+01  0.9500E+02  0.5247E+00  0.9500E+02  0.2359E+05  0.1841E-22  0.4560E+02  0.3649E+03
   83.1764  109.6478  0.1790E+01  0.5178E+02  0.3005E+00  0.5178E+02  0.1404E+05  0.6992E-24  0.2567E+02  0.2134E+03
  109.6478  144.5440  0.9982E+00  0.2864E+02  0.1741E+00  0.2864E+02  0.8594E+04  0.2786E-25  0.1484E+02  0.1289E+03
  144.5440  190.5461  0.5623E+00  0.1652E+02  0.1019E+00  0.1652E+02  0.5379E+04  0.4600E-31  0.8777E+01  0.8000E+02
  190.5461  251.1887  0.3204E+00  0.9722E+01  0.6001E-01  0.9722E+01  0.3429E+04  0.6064E-31  0.5293E+01  0.5078E+02
  251.1887  331.1311  0.1829E+00  0.5792E+01  0.3545E-01  0.5792E+01  0.2220E+04  0.7994E-31  0.3247E+01  0.3286E+02
  331.1311  436.5159  0.1054E+00  0.3442E+01  0.2098E-01  0.3442E+01  0.1456E+04  0.1054E-30  0.2022E+01  0.2161E+02
  436.5159  575.4399  0.6066E-01  0.2095E+01  0.1244E-01  0.2095E+01  0.9656E+03  0.1389E-30  0.1276E+01  0.1441E+02
  575.4399  758.5778  0.3518E-01  0.1296E+01  0.7408E-02  0.1296E+01  0.6534E+03  0.1831E-30  0.8144E+00  0.9724E+01
  758.5778 1000.0000  0.2040E-01  0.8095E+00  0.4440E-02  0.8095E+00  0.4521E+03  0.2414E-30  0.5254E+00  0.6631E+01
  ------------------------------------------------------------------------------------------
           TOTALS:    0.2035E+09  0.3324E+10  0.7870E+06  0.3324E+10  0.4662E+11  0.1724E+05  0.7522E+09  0.1762E+10
