                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1093E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9723E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1617E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9723E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1634E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.7640E+05 (#/cm^2/sec)
 Mean Total Flux       =   0.2555E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5137E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.3540E+01  0.8510E+02  0.5932E+00  0.8510E+02  0.8911E+04  0.7555E-18  0.3262E+02  0.1872E+03
   20.8930   27.5423  0.1647E+01  0.3974E+02  0.2817E+00  0.3974E+02  0.4721E+04  0.3028E-19  0.1568E+02  0.9355E+02
   27.5423   36.3078  0.7632E+00  0.1860E+02  0.1335E+00  0.1860E+02  0.2504E+04  0.1214E-20  0.7567E+01  0.4709E+02
   36.3078   47.8630  0.3539E+00  0.8750E+01  0.6324E-01  0.8750E+01  0.1330E+04  0.4868E-22  0.3666E+01  0.2389E+02
   47.8630   63.0957  0.1650E+00  0.4081E+01  0.3000E-01  0.4081E+01  0.7077E+03  0.1954E-23  0.1784E+01  0.1221E+02
   63.0957   83.1764  0.7664E-01  0.1924E+01  0.1413E-01  0.1924E+01  0.3768E+03  0.7849E-25  0.8715E+00  0.6288E+01
   83.1764  109.6478  0.3533E-01  0.9055E+00  0.6682E-02  0.9055E+00  0.2009E+03  0.3156E-26  0.4278E+00  0.3262E+01
  109.6478  144.5440  0.1630E-01  0.4342E+00  0.3149E-02  0.4342E+00  0.1072E+03  0.1151E-27  0.2109E+00  0.1704E+01
  144.5440  190.5461  0.7483E-02  0.2091E+00  0.1483E-02  0.2091E+00  0.5721E+02  0.1000E-32  0.1045E+00  0.8957E+00
  190.5461  251.1887  0.3422E-02  0.1000E+00  0.6958E-03  0.1000E+00  0.3057E+02  0.1000E-32  0.5198E-01  0.4736E+00
  251.1887  331.1311  0.1568E-02  0.4808E-01  0.3265E-03  0.4808E-01  0.1634E+02  0.1000E-32  0.2598E-01  0.2517E+00
  331.1311  436.5159  0.7161E-03  0.2328E-01  0.1527E-03  0.2328E-01  0.8743E+01  0.1000E-32  0.1304E-01  0.1344E+00
  436.5159  575.4399  0.3252E-03  0.1138E-01  0.7129E-04  0.1138E-01  0.4746E+01  0.1000E-32  0.6579E-02  0.7206E-01
  575.4399  758.5778  0.1483E-03  0.5542E-02  0.3322E-04  0.5542E-02  0.2598E+01  0.1000E-32  0.3333E-02  0.3879E-01
  758.5778 1000.0000  0.6778E-04  0.2666E-02  0.1552E-04  0.2666E-02  0.1423E+01  0.1000E-32  0.1695E-02  0.2095E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3460E+06  0.1681E+07  0.6529E+05  0.1681E+07  0.1147E+08  0.2700E+04  0.5450E+06  0.6744E+06
    0.0013    0.0017  0.4303E+06  0.2161E+07  0.7867E+05  0.2161E+07  0.1502E+08  0.3184E+04  0.6944E+06  0.8866E+06
    0.0017    0.0023  0.5261E+06  0.2781E+07  0.9235E+05  0.2781E+07  0.1945E+08  0.3702E+04  0.8739E+06  0.1158E+07
    0.0023    0.0030  0.6289E+06  0.3523E+07  0.1057E+06  0.3523E+07  0.2474E+08  0.4238E+04  0.1083E+07  0.1497E+07
    0.0030    0.0040  0.7296E+06  0.4399E+07  0.1174E+06  0.4399E+07  0.3073E+08  0.4771E+04  0.1315E+07  0.1908E+07
    0.0040    0.0052  0.8122E+06  0.5392E+07  0.1262E+06  0.5392E+07  0.3912E+08  0.5273E+04  0.1557E+07  0.2389E+07
    0.0052    0.0069  0.8740E+06  0.6427E+07  0.1292E+06  0.6427E+07  0.4948E+08  0.5593E+04  0.1789E+07  0.2924E+07
    0.0069    0.0091  0.8994E+06  0.7460E+07  0.1272E+06  0.7460E+07  0.6322E+08  0.5519E+04  0.1984E+07  0.3486E+07
    0.0091    0.0120  0.8886E+06  0.8220E+07  0.1199E+06  0.8220E+07  0.8077E+08  0.5320E+04  0.2111E+07  0.4024E+07
    0.0120    0.0158  0.8274E+06  0.8675E+07  0.1077E+06  0.8675E+07  0.1037E+09  0.4883E+04  0.2147E+07  0.4467E+07
    0.0158    0.0209  0.7201E+06  0.8453E+07  0.9168E+05  0.8453E+07  0.1285E+09  0.4368E+04  0.2083E+07  0.4756E+07
    0.0209    0.0275  0.5973E+06  0.7741E+07  0.7451E+05  0.7741E+07  0.1517E+09  0.3808E+04  0.1929E+07  0.4870E+07
    0.0275    0.0363  0.4731E+06  0.6754E+07  0.5895E+05  0.6754E+07  0.1682E+09  0.3238E+04  0.1709E+07  0.4784E+07
    0.0363    0.0479  0.3568E+06  0.5749E+07  0.4418E+05  0.5749E+07  0.1728E+09  0.2689E+04  0.1447E+07  0.4455E+07
    0.0479    0.0631  0.2581E+06  0.4772E+07  0.3202E+05  0.4772E+07  0.1626E+09  0.2182E+04  0.1173E+07  0.3893E+07
    0.0631    0.0832  0.1814E+06  0.3748E+07  0.2261E+05  0.3748E+07  0.1393E+09  0.1733E+04  0.9110E+06  0.3191E+07
    0.0832    0.1096  0.1239E+06  0.2837E+07  0.1564E+05  0.2837E+07  0.1086E+09  0.1350E+04  0.6809E+06  0.2469E+07
    0.1096    0.1445  0.8214E+05  0.2042E+07  0.1055E+05  0.2042E+07  0.7757E+08  0.1031E+04  0.4918E+06  0.1821E+07
    0.1445    0.1905  0.5364E+05  0.1455E+07  0.6875E+04  0.1455E+07  0.5211E+08  0.7750E+03  0.3448E+06  0.1293E+07
    0.1905    0.2512  0.3494E+05  0.9913E+06  0.4406E+04  0.9913E+06  0.3285E+08  0.1036E+03  0.2358E+06  0.8928E+06
    0.2512    0.3311  0.2235E+05  0.6581E+06  0.2887E+04  0.6581E+06  0.1967E+08  0.1013E+02  0.1579E+06  0.6041E+06
    0.3311    0.4365  0.1426E+05  0.4309E+06  0.1872E+04  0.4309E+06  0.1161E+08  0.8577E+00  0.1039E+06  0.4030E+06
    0.4365    0.5754  0.9002E+04  0.2775E+06  0.1202E+04  0.2775E+06  0.7501E+07  0.6461E-01  0.6745E+05  0.2663E+06
    0.5754    0.7586  0.5635E+04  0.1716E+06  0.7751E+03  0.1716E+06  0.4757E+07  0.4437E-02  0.4330E+05  0.1748E+06
    0.7586    1.0000  0.3540E+04  0.1053E+06  0.4954E+03  0.1053E+06  0.3167E+07  0.2837E-03  0.2756E+05  0.1141E+06
    1.0000    1.3183  0.2217E+04  0.6626E+05  0.3130E+03  0.6626E+05  0.2156E+07  0.1717E-04  0.1742E+05  0.7419E+05
    1.3183    1.7378  0.1383E+04  0.4032E+05  0.1981E+03  0.4032E+05  0.1435E+07  0.9982E-06  0.1096E+05  0.4804E+05
    1.7378    2.2909  0.8576E+03  0.2438E+05  0.1253E+03  0.2438E+05  0.9365E+06  0.5630E-07  0.6873E+04  0.3100E+05
