                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1039E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9902E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1328E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9902E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.9674E+09 (#/cm^2/sec)
 Minimum Total Flux    =   0.3963E+05 (#/cm^2/sec)
 Mean Total Flux       =   0.2481E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4239E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.3548E+01  0.9246E+02  0.5846E+00  0.9246E+02  0.6943E+04  0.5329E-18  0.3521E+02  0.2030E+03
   20.8930   27.5423  0.1648E+01  0.4298E+02  0.2779E+00  0.4298E+02  0.3797E+04  0.2233E-19  0.1674E+02  0.9945E+02
   27.5423   36.3078  0.7671E+00  0.1963E+02  0.1321E+00  0.1963E+02  0.2072E+04  0.9310E-21  0.7999E+01  0.4929E+02
   36.3078   47.8630  0.3568E+00  0.9049E+01  0.6266E-01  0.9049E+01  0.1128E+04  0.3864E-22  0.3844E+01  0.2470E+02
   47.8630   63.0957  0.1658E+00  0.4192E+01  0.2975E-01  0.4192E+01  0.6127E+03  0.1598E-23  0.1857E+01  0.1251E+02
   63.0957   83.1764  0.7696E-01  0.1960E+01  0.1408E-01  0.1960E+01  0.3324E+03  0.6586E-25  0.9022E+00  0.6400E+01
   83.1764  109.6478  0.3553E-01  0.9181E+00  0.6653E-02  0.9181E+00  0.1800E+03  0.2708E-26  0.4406E+00  0.3303E+01
  109.6478  144.5440  0.1640E-01  0.4418E+00  0.3130E-02  0.4418E+00  0.9742E+02  0.1007E-27  0.2163E+00  0.1719E+01
  144.5440  190.5461  0.7500E-02  0.2122E+00  0.1476E-02  0.2122E+00  0.5266E+02  0.1000E-32  0.1068E+00  0.9014E+00
  190.5461  251.1887  0.3436E-02  0.1006E+00  0.6944E-03  0.1006E+00  0.2844E+02  0.1000E-32  0.5296E-01  0.4757E+00
  251.1887  331.1311  0.1570E-02  0.4848E-01  0.3264E-03  0.4848E-01  0.1535E+02  0.1000E-32  0.2640E-01  0.2525E+00
  331.1311  436.5159  0.7164E-03  0.2326E-01  0.1525E-03  0.2326E-01  0.8276E+01  0.1000E-32  0.1323E-01  0.1347E+00
  436.5159  575.4399  0.3259E-03  0.1139E-01  0.7124E-04  0.1139E-01  0.4527E+01  0.1000E-32  0.6659E-02  0.7218E-01
  575.4399  758.5778  0.1483E-03  0.5603E-02  0.3319E-04  0.5603E-02  0.2493E+01  0.1000E-32  0.3368E-02  0.3883E-01
  758.5778 1000.0000  0.6771E-04  0.2662E-02  0.1546E-04  0.2662E-02  0.1373E+01  0.1000E-32  0.1711E-02  0.2096E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3182E+06  0.1424E+07  0.6085E+05  0.1424E+07  0.7445E+07  0.2212E+04  0.4748E+06  0.5033E+06
    0.0013    0.0017  0.3934E+06  0.1789E+07  0.7220E+05  0.1789E+07  0.9993E+07  0.2442E+04  0.5956E+06  0.6408E+06
    0.0017    0.0023  0.4798E+06  0.2247E+07  0.8391E+05  0.2247E+07  0.1334E+08  0.2645E+04  0.7381E+06  0.8098E+06
    0.0023    0.0030  0.5723E+06  0.2772E+07  0.9445E+05  0.2772E+07  0.1766E+08  0.2807E+04  0.9012E+06  0.1014E+07
    0.0030    0.0040  0.6591E+06  0.3360E+07  0.1032E+06  0.3360E+07  0.2307E+08  0.2915E+04  0.1081E+07  0.1254E+07
    0.0040    0.0052  0.7360E+06  0.4045E+07  0.1076E+06  0.4045E+07  0.2956E+08  0.2961E+04  0.1270E+07  0.1530E+07
    0.0052    0.0069  0.7993E+06  0.4828E+07  0.1075E+06  0.4828E+07  0.3686E+08  0.2938E+04  0.1456E+07  0.1840E+07
    0.0069    0.0091  0.8394E+06  0.5621E+07  0.1032E+06  0.5621E+07  0.4548E+08  0.2847E+04  0.1626E+07  0.2177E+07
    0.0091    0.0120  0.8389E+06  0.6341E+07  0.9496E+05  0.6341E+07  0.5538E+08  0.2693E+04  0.1763E+07  0.2526E+07
