                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1082E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9563E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1531E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9563E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1889E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1147E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2566E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5006E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.3556E+01  0.9062E+02  0.5872E+00  0.9062E+02  0.7699E+04  0.7239E-18  0.3490E+02  0.2074E+03
   20.8930   27.5423  0.1651E+01  0.4172E+02  0.2794E+00  0.4172E+02  0.4157E+04  0.2917E-19  0.1662E+02  0.1016E+03
   27.5423   36.3078  0.7688E+00  0.1930E+02  0.1325E+00  0.1930E+02  0.2242E+04  0.1175E-20  0.7952E+01  0.5032E+02
   36.3078   47.8630  0.3578E+00  0.8994E+01  0.6280E-01  0.8994E+01  0.1208E+04  0.4733E-22  0.3826E+01  0.2519E+02
   47.8630   63.0957  0.1653E+00  0.4199E+01  0.2972E-01  0.4199E+01  0.6507E+03  0.1907E-23  0.1850E+01  0.1274E+02
   63.0957   83.1764  0.7702E-01  0.1952E+01  0.1410E-01  0.1952E+01  0.3503E+03  0.7683E-25  0.8993E+00  0.6508E+01
   83.1764  109.6478  0.3557E-01  0.9145E+00  0.6652E-02  0.9145E+00  0.1885E+03  0.3097E-26  0.4394E+00  0.3354E+01
  109.6478  144.5440  0.1641E-01  0.4416E+00  0.3134E-02  0.4416E+00  0.1014E+03  0.1132E-27  0.2158E+00  0.1743E+01
  144.5440  190.5461  0.7511E-02  0.2113E+00  0.1481E-02  0.2113E+00  0.5452E+02  0.1000E-32  0.1066E+00  0.9125E+00
  190.5461  251.1887  0.3430E-02  0.1014E+00  0.6938E-03  0.1014E+00  0.2931E+02  0.1000E-32  0.5288E-01  0.4809E+00
  251.1887  331.1311  0.1571E-02  0.4830E-01  0.3258E-03  0.4830E-01  0.1576E+02  0.1000E-32  0.2637E-01  0.2549E+00
  331.1311  436.5159  0.7176E-03  0.2318E-01  0.1528E-03  0.2318E-01  0.8606E+01  0.1000E-32  0.1321E-01  0.1359E+00
  436.5159  575.4399  0.3257E-03  0.1139E-01  0.7134E-04  0.1139E-01  0.4714E+01  0.1000E-32  0.6653E-02  0.7273E-01
