                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.2687E+08 (#/cm^2/sec)
 95% Total Flux        =   0.1403E+09 (#/cm^2/sec)
  5% Total Flux        =   0.1405E+07 (#/cm^2/sec)
  95% Total Flux       =   0.1403E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.1482E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.3614E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.4351E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5651E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.1360E+01  0.2578E+03  0.2104E-02  0.2578E+03  0.7375E+05  0.9487E-08  0.7993E+02  0.7752E+03
   20.8930   27.5423  0.6226E+00  0.1465E+03  0.7758E-03  0.1465E+03  0.4426E+05  0.2576E-08  0.4473E+02  0.4311E+03
   27.5423   36.3078  0.2846E+00  0.8390E+02  0.2833E-03  0.8390E+02  0.2682E+05  0.7006E-09  0.2532E+02  0.2441E+03
   36.3078   47.8630  0.1299E+00  0.4830E+02  0.1031E-03  0.4830E+02  0.1630E+05  0.1908E-09  0.1448E+02  0.1404E+03
   47.8630   63.0957  0.5927E-01  0.2781E+02  0.3738E-04  0.2781E+02  0.9927E+04  0.5200E-10  0.8358E+01  0.8173E+02
   63.0957   83.1764  0.2713E-01  0.1599E+02  0.1368E-04  0.1599E+02  0.6058E+04  0.1419E-10  0.4864E+01  0.4809E+02
   83.1764  109.6478  0.1246E-01  0.9228E+01  0.4943E-05  0.9228E+01  0.3702E+04  0.3874E-11  0.2851E+01  0.2855E+02
  109.6478  144.5440  0.5738E-02  0.5376E+01  0.1798E-05  0.5376E+01  0.2266E+04  0.1058E-11  0.1683E+01  0.1708E+02
  144.5440  190.5461  0.2638E-02  0.3120E+01  0.6510E-06  0.3120E+01  0.1389E+04  0.2894E-12  0.9993E+00  0.1029E+02
  190.5461  251.1887  0.1211E-02  0.1821E+01  0.2380E-06  0.1821E+01  0.8522E+03  0.7917E-13  0.5966E+00  0.6227E+01
  251.1887  331.1311  0.5578E-03  0.1060E+01  0.8544E-07  0.1060E+01  0.5234E+03  0.2167E-13  0.3580E+00  0.3789E+01
  331.1311  436.5159  0.2573E-03  0.6206E+00  0.3117E-07  0.6206E+00  0.3217E+03  0.5933E-14  0.2158E+00  0.2315E+01
  436.5159  575.4399  0.1182E-03  0.3608E+00  0.1117E-07  0.3608E+00  0.1979E+03  0.1625E-14  0.1306E+00  0.1419E+01
  575.4399  758.5778  0.5417E-04  0.2105E+00  0.4038E-08  0.2105E+00  0.1218E+03  0.4453E-15  0.7933E-01  0.8732E+00
  758.5778 1000.0000  0.2491E-04  0.1233E+00  0.1461E-08  0.1233E+00  0.7546E+02  0.1220E-15  0.4836E-01  0.5387E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.7685E+06  0.3328E+07  0.6340E+05  0.3328E+07  0.1863E+08  0.1998E+03  0.1091E+07  0.1182E+07
    0.0013    0.0017  0.9960E+06  0.4498E+07  0.7702E+05  0.4498E+07  0.2878E+08  0.2347E+03  0.1439E+07  0.1596E+07
    0.0017    0.0023  0.1265E+07  0.6045E+07  0.9095E+05  0.6045E+07  0.3479E+08  0.2561E+03  0.1873E+07  0.2130E+07
    0.0023    0.0030  0.1555E+07  0.7896E+07  0.1019E+06  0.7896E+07  0.3991E+08  0.2736E+03  0.2390E+07  0.2804E+07
    0.0030    0.0040  0.1845E+07  0.9857E+07  0.1081E+06  0.9857E+07  0.4740E+08  0.2856E+03  0.2961E+07  0.3646E+07
    0.0040    0.0052  0.2112E+07  0.1169E+08  0.1089E+06  0.1169E+08  0.6486E+08  0.2907E+03  0.3521E+07  0.4634E+07
    0.0052    0.0069  0.2275E+07  0.1353E+08  0.1024E+06  0.1353E+08  0.1062E+09  0.2883E+03  0.3967E+07  0.5596E+07
    0.0069    0.0091  0.2267E+07  0.1477E+08  0.9125E+05  0.1477E+08  0.1067E+09  0.2782E+03  0.4202E+07  0.6293E+07
    0.0091    0.0120  0.2069E+07  0.1492E+08  0.7739E+05  0.1492E+08  0.1121E+09  0.2608E+03  0.4184E+07  0.6659E+07
    0.0120    0.0158  0.1723E+07  0.1515E+08  0.6272E+05  0.1515E+08  0.1435E+09  0.2373E+03  0.3922E+07  0.6742E+07
    0.0158    0.0209  0.1279E+07  0.1507E+08  0.4768E+05  0.1507E+08  0.1433E+09  0.2096E+03  0.3460E+07  0.6451E+07
