                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1905E+08 (#/cm^2/sec)
 95% Total Flux        =   0.1100E+09 (#/cm^2/sec)
  5% Total Flux        =   0.1084E+07 (#/cm^2/sec)
  95% Total Flux       =   0.1100E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.2446E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1530E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.3392E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5549E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.1323E+01  0.2454E+03  0.2086E-02  0.2454E+03  0.7897E+05  0.9551E-08  0.7241E+02  0.7192E+03
   20.8930   27.5423  0.6056E+00  0.1413E+03  0.7636E-03  0.1413E+03  0.4686E+05  0.2591E-08  0.4119E+02  0.4055E+03
   27.5423   36.3078  0.2782E+00  0.8117E+02  0.2801E-03  0.8117E+02  0.2801E+05  0.7042E-09  0.2363E+02  0.2324E+03
   36.3078   47.8630  0.1278E+00  0.4702E+02  0.1018E-03  0.4702E+02  0.1685E+05  0.1916E-09  0.1367E+02  0.1350E+03
   47.8630   63.0957  0.5848E-01  0.2705E+02  0.3710E-04  0.2705E+02  0.1019E+05  0.5220E-10  0.7964E+01  0.7924E+02
   63.0957   83.1764  0.2686E-01  0.1563E+02  0.1359E-04  0.1563E+02  0.6191E+04  0.1423E-10  0.4671E+01  0.4694E+02
   83.1764  109.6478  0.1233E-01  0.9090E+01  0.4908E-05  0.9090E+01  0.3776E+04  0.3885E-11  0.2756E+01  0.2801E+02
  109.6478  144.5440  0.5679E-02  0.5304E+01  0.1790E-05  0.5304E+01  0.2311E+04  0.1061E-11  0.1636E+01  0.1683E+02
  144.5440  190.5461  0.2618E-02  0.3098E+01  0.6516E-06  0.3098E+01  0.1419E+04  0.2900E-12  0.9756E+00  0.1017E+02
  190.5461  251.1887  0.1202E-02  0.1806E+01  0.2364E-06  0.1806E+01  0.8730E+03  0.7932E-13  0.5847E+00  0.6172E+01
  251.1887  331.1311  0.5541E-03  0.1053E+01  0.8523E-07  0.1053E+01  0.5384E+03  0.2171E-13  0.3519E+00  0.3762E+01
  331.1311  436.5159  0.2563E-03  0.6160E+00  0.3085E-07  0.6160E+00  0.3327E+03  0.5942E-14  0.2127E+00  0.2302E+01
  436.5159  575.4399  0.1176E-03  0.3595E+00  0.1111E-07  0.3595E+00  0.2059E+03  0.1627E-14  0.1290E+00  0.1413E+01
  575.4399  758.5778  0.5397E-04  0.2099E+00  0.4028E-08  0.2099E+00  0.1276E+03  0.4458E-15  0.7851E-01  0.8703E+00
  758.5778 1000.0000  0.2477E-04  0.1223E+00  0.1460E-08  0.1223E+00  0.7918E+02  0.1222E-15  0.4794E-01  0.5373E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.8135E+06  0.3846E+07  0.4988E+05  0.3846E+07  0.2537E+08  0.1495E+02  0.1173E+07  0.1318E+07
