                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.5827E+07 (#/cm^2/sec)
 95% Total Flux        =   0.6566E+08 (#/cm^2/sec)
  5% Total Flux        =   0.2474E+06 (#/cm^2/sec)
  95% Total Flux       =   0.6566E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.7018E+09 (#/cm^2/sec)
 Minimum Total Flux    =   0.5350E+03 (#/cm^2/sec)
 Mean Total Flux       =   0.1717E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.3266E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.1264E+01  0.2417E+03  0.1941E-02  0.2417E+03  0.5172E+05  0.7991E-08  0.7238E+02  0.6172E+03
   20.8930   27.5423  0.5835E+00  0.1398E+03  0.7224E-03  0.1398E+03  0.3269E+05  0.2219E-08  0.4118E+02  0.3576E+03
   27.5423   36.3078  0.2683E+00  0.8091E+02  0.2671E-03  0.8091E+02  0.2060E+05  0.6151E-09  0.2363E+02  0.2092E+03
   36.3078   47.8630  0.1237E+00  0.4651E+02  0.9874E-04  0.4651E+02  0.1295E+05  0.1703E-09  0.1367E+02  0.1235E+03
   47.8630   63.0957  0.5703E-01  0.2672E+02  0.3595E-04  0.2672E+02  0.8126E+04  0.4711E-10  0.7961E+01  0.7343E+02
   63.0957   83.1764  0.2625E-01  0.1546E+02  0.1314E-04  0.1546E+02  0.5088E+04  0.1302E-10  0.4668E+01  0.4396E+02
   83.1764  109.6478  0.1213E-01  0.9011E+01  0.4817E-05  0.9011E+01  0.3181E+04  0.3594E-11  0.2754E+01  0.2647E+02
  109.6478  144.5440  0.5585E-02  0.5291E+01  0.1749E-05  0.5291E+01  0.1985E+04  0.9916E-12  0.1634E+01  0.1602E+02
  144.5440  190.5461  0.2574E-02  0.3080E+01  0.6323E-06  0.3080E+01  0.1238E+04  0.2734E-12  0.9748E+00  0.9741E+01
  190.5461  251.1887  0.1187E-02  0.1795E+01  0.2317E-06  0.1795E+01  0.7736E+03  0.7535E-13  0.5841E+00  0.5947E+01
  251.1887  331.1311  0.5477E-03  0.1050E+01  0.8417E-07  0.1050E+01  0.4847E+03  0.2075E-13  0.3516E+00  0.3643E+01
  331.1311  436.5159  0.2537E-03  0.6136E+00  0.3036E-07  0.6136E+00  0.3036E+03  0.5714E-14  0.2125E+00  0.2239E+01
  436.5159  575.4399  0.1167E-03  0.3588E+00  0.1097E-07  0.3588E+00  0.1901E+03  0.1573E-14  0.1289E+00  0.1379E+01
  575.4399  758.5778  0.5359E-04  0.2092E+00  0.3979E-08  0.2092E+00  0.1191E+03  0.4328E-15  0.7844E-01  0.8522E+00
  758.5778 1000.0000  0.2465E-04  0.1222E+00  0.1444E-08  0.1222E+00  0.7455E+02  0.1190E-15  0.4790E-01  0.5277E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3058E+06  0.2420E+07  0.1614E+05  0.2420E+07  0.1692E+08  0.3414E+02  0.6670E+06  0.9484E+06
    0.0013    0.0017  0.3502E+06  0.2879E+07  0.1764E+05  0.2879E+07  0.2226E+08  0.3775E+02  0.8070E+06  0.1193E+07
    0.0017    0.0023  0.3909E+06  0.3395E+07  0.1873E+05  0.3395E+07  0.2452E+08  0.4087E+02  0.9578E+06  0.1483E+07
    0.0023    0.0030  0.4246E+06  0.3999E+07  0.1926E+05  0.3999E+07  0.3571E+08  0.4327E+02  0.1110E+07  0.1815E+07
    0.0030    0.0040  0.4547E+06  0.4665E+07  0.1939E+05  0.4665E+07  0.9411E+08  0.4470E+02  0.1250E+07  0.2187E+07
    0.0040    0.0052  0.4696E+06  0.5171E+07  0.1906E+05  0.5171E+07  0.5482E+08  0.4499E+02  0.1358E+07  0.2514E+07
    0.0052    0.0069  0.4559E+06  0.5494E+07  0.1812E+05  0.5494E+07  0.6903E+08  0.4404E+02  0.1418E+07  0.2789E+07
    0.0069    0.0091  0.4220E+06  0.5807E+07  0.1668E+05  0.5807E+07  0.8915E+08  0.4188E+02  0.1424E+07  0.2974E+07
    0.0091    0.0120  0.3740E+06  0.5812E+07  0.1487E+05  0.5812E+07  0.1017E+09  0.3862E+02  0.1382E+07  0.3084E+07
    0.0120    0.0158  0.3168E+06  0.5317E+07  0.1284E+05  0.5317E+07  0.9727E+08  0.3450E+02  0.1311E+07  0.3205E+07
